0	200
0.1	192
0.2	184
0.3	176
0.4	168
0.5	160
0.6	152
0.7	144
0.8	136
0.9	128
1	120
1.1	112
1.2	104
1.3	96
1.4	88
1.5	80
1.6	72
1.7	64
1.8	56
1.9	48
2	40
2.1	32
2.2	24
2.3	16
2.4	8
2.5	5.68434e-14
2.6	6.4
2.7	12.8
2.8	19.2
2.9	25.6
3	32
3.1	38.4
3.2	44.8
3.3	51.2
3.4	57.6
3.5	64
3.6	70.4
3.7	76.8
3.8	83.2
3.9	89.6
4	96
4.1	102.4
4.2	108.8
4.3	115.2
4.4	121.6
4.5	128
4.6	134.4
4.7	140.8
4.8	147.2
4.9	153.6
5	160
5.1	153.6
5.2	147.2
5.3	140.8
5.4	134.4
5.5	128
5.6	121.6
5.7	115.2
5.8	108.8
5.9	102.4
6	96
6.1	89.6
6.2	83.2
6.3	76.8
6.4	70.4
6.5	64
6.6	57.6
6.7	51.2
6.8	44.8
6.9	38.4
7	32
7.1	25.6
7.2	19.2
7.3	12.8
7.4	6.4
7.5	6.82121e-13
7.6	2.8
7.7	5.6
7.8	8.4
7.9	11.2
8	14
8.1	16.8
8.2	19.6
8.3	22.4
8.4	25.2
8.5	28
8.6	30.8
8.7	33.6
8.8	36.4
8.9	39.2
9	42
9.1	44.8
9.2	47.6
9.3	50.4
9.4	53.2
9.5	56
9.6	58.8
9.7	61.6
9.8	64.4
9.9	67.2
10	70
10.1	72.8
10.2	75.6
10.3	78.4
10.4	81.2
10.5	84
10.6	86.8
10.7	89.6
10.8	92.4
10.9	95.2
11	98
11.1	100.8
11.2	103.6
11.3	106.4
11.4	109.2
11.5	112
11.6	114.8
11.7	117.6
11.8	120.4
11.9	123.2
12	126
12.1	128.8
12.2	131.6
12.3	134.4
12.4	137.2
12.5	140
12.6	137.2
12.7	134.4
12.8	131.6
12.9	128.8
13	126
13.1	123.2
13.2	120.4
13.3	117.6
13.4	114.8
13.5	112
13.6	109.2
13.7	106.4
13.8	103.6
13.9	100.8
14	98
14.1	95.2
14.2	92.4
14.3	89.6
14.4	86.8
14.5	84
14.6	81.2
14.7	78.4
14.8	75.6
14.9	72.8
15	70
15.1	67.2
15.2	64.4
15.3	61.6
15.4	58.8
15.5	56
15.6	53.2
15.7	50.4
15.8	47.6
15.9	44.8
16	42
16.1	39.2
16.2	36.4
16.3	33.6
16.4	30.8
16.5	28
16.6	25.2
16.7	22.4
16.8	19.6
16.9	16.8
17	14
17.1	11.2
17.2	8.4
17.3	5.6
17.4	2.8
17.5	5.96856e-13
17.6	3.2
17.7	6.4
17.8	9.6
17.9	12.8
18	16
18.1	19.2
18.2	22.4
18.3	25.6
18.4	28.8
18.5	32
18.6	35.2
18.7	38.4
18.8	41.6
18.9	44.8
19	48
19.1	51.2
19.2	54.4
19.3	57.6
19.4	60.8
19.5	64
19.6	67.2
19.7	70.4
19.8	73.6
19.9	76.8
20	80
20.1	83.2
20.2	86.4
20.3	89.6
20.4	92.8
20.5	96
20.6	99.2
20.7	102.4
20.8	105.6
20.9	108.8
21	112
21.1	115.2
21.2	118.4
21.3	121.6
21.4	124.8
21.5	128
21.6	131.2
21.7	134.4
21.8	137.6
21.9	140.8
22	144
22.1	147.2
22.2	150.4
22.3	153.6
22.4	156.8
22.5	160
22.6	156.8
22.7	153.6
22.8	150.4
22.9	147.2
23	144
23.1	140.8
23.2	137.6
23.3	134.4
23.4	131.2
23.5	128
23.6	124.8
23.7	121.6
23.8	118.4
23.9	115.2
24	112
24.1	108.8
24.2	105.6
24.3	102.4
24.4	99.2
24.5	96
24.6	92.8
24.7	89.6
24.8	86.4
24.9	83.2
25	80
25.1	76.8
25.2	73.6
25.3	70.4
25.4	67.2
25.5	64
25.6	60.8
25.7	57.6
25.8	54.4
25.9	51.2
26	48
26.1	44.8
26.2	41.6
26.3	38.4
26.4	35.2
26.5	32
26.6	28.8
26.7	25.6
26.8	22.4
26.9	19.2
27	16
27.1	12.8
27.2	9.6
27.3	6.4
27.4	3.2
27.5	9.66338e-12
27.6	8
27.7	16
27.8	24
27.9	32
28	40
28.1	48
28.2	56
28.3	64
28.4	72
28.5	80
28.6	88
28.7	96
28.8	104
28.9	112
29	120
29.1	128
29.2	136
29.3	144
29.4	152
29.5	160
29.6	168
29.7	176
29.8	184
29.9	192
