../results/wi29_reverse-4-01.csv,../results/wi29_reverse-4-02.csv,avg
54594.17793599999,51981.266840000004,53287.722387999995
53752.911288,51524.80019200001,52638.855740000006
53525.822416,51269.57796,52397.700188
53304.13352800001,50835.26686400001,52069.70019600001
52573.111328000006,50762.13352000001,51667.62242400001
52443.33356800001,50694.71128800001,51569.02242800001
52232.778024000014,50261.33352800002,51247.055776000016
51624.200232,50073.400200000004,50848.800216
51466.422448000005,49844.844616,50655.63353200001
51348.04468000001,49353.200176,50350.622428
51293.689128,49124.33351200001,50209.011320000005
51220.91133600001,49103.71128800001,50162.31131200001
51096.48910400001,49103.71128800001,50100.100196000014
50957.244664000005,49057.46684,50007.355752
50794.17799200001,48921.155744,49857.66686800001
50751.40021600001,48580.600200000015,49666.00020800001
50380.84465600001,48497.40021600001,49439.122436000005
50091.778000000006,48462.86688000001,49277.32244
49904.17800800001,48398.311312000005,49151.24466000001
49903.111336,47980.68908800001,48941.90021200001
49658.33356000001,47717.022423999995,48687.677992
49547.044664000015,47492.17797600001,48519.61132000001
49294.511336,47492.17797600001,48393.34465600001
49287.22244799999,47480.400208,48383.811327999996
49034.889103999994,47451.06688000001,48242.977992
48983.600208,47451.06688000001,48217.33354400001
48886.489112,47255.044656000005,48070.766884000004
48694.800240000004,47225.28910400001,47960.044672
48694.800240000004,47201.644664000014,47948.22245200001
48496.13356799999,47201.644664000014,47848.889116000006
48380.28912,47043.044664000015,47711.66689200001
48348.066896000004,46840.53353600001,47594.300216
48348.066896000004,46608.71132000001,47478.389108
48337.400232,46607.53353600001,47472.46688400001
48236.066896000004,46460.311312000005,47348.189104000005
48203.22244799999,46458.489088,47330.855767999994
48203.22244799999,46458.489088,47330.855767999994
48203.22244799999,46449.422416000016,47326.322432
48169.33356000001,46449.422416000016,47309.37798800001
48111.13356799999,46449.422416000016,47280.277992
48111.13356799999,46449.422416000016,47280.277992
48111.13356799999,46449.422416000016,47280.277992
48111.13356799999,46405.200184,47258.166875999996
48111.13356799999,46405.200184,47258.166875999996
47976.311336000006,46398.533512000016,47187.42242400001
47888.866888,46357.200176,47123.033532
47719.133552,46357.200176,47038.166864
47719.133552,46357.200176,47038.166864
47717.355768,46357.200176,47037.277971999996
47717.355768,46357.200176,47037.277971999996
47717.355768,46240.08906400001,46978.722416000004
47711.000199999995,46223.08906400001,46967.044632000005
47656.11131200001,46223.08906400001,46939.60018800001
47644.822424,46149.511287999994,46897.166855999996
47644.822424,46105.155744,46874.989084
47644.822424,46012.911312000004,46828.866868
47644.822424,46003.57797600001,46824.20020000001
47644.822424,46000.489096000005,46822.65576
47644.822424,45919.155760000016,46781.989092
47565.489088,45919.155760000016,46742.32242400001
47565.489088,45806.28910400001,46685.889096000006
47565.489088,45806.28910400001,46685.889096000006
47565.489088,45764.84465600001,46665.166872
47565.489088,45764.84465600001,46665.166872
47565.489088,45689.11132000001,46627.30020400001
47513.489088,45689.11132000001,46601.30020400001
47461.555759999996,45689.11132000001,46575.33354000001
47461.555759999996,45207.06688000001,46334.31132000001
47461.555759999996,45185.533552,46323.544656
47461.555759999996,45185.533552,46323.544656
47435.95576,45185.533552,46310.744655999995
47435.95576,45185.533552,46310.744655999995
47435.95576,45185.533552,46310.744655999995
47435.95576,45185.533552,46310.744655999995
47435.95576,45130.800216,46283.377988
47435.95576,45130.800216,46283.377988
47435.95576,45130.800216,46283.377988
47435.95576,45130.800216,46283.377988
47435.95576,45130.800216,46283.377988
47435.95576,45130.800216,46283.377988
47435.95576,45130.800216,46283.377988
47435.95576,45130.800216,46283.377988
47420.40021600001,44928.46688000001,46174.43354800001
47310.311327999996,44916.46688000001,46113.389104
47256.97800000001,44727.82244000001,45992.40022000001
47218.57800000001,44727.82244000001,45973.20022000001
47218.57800000001,44727.82244000001,45973.20022000001
47187.377992,44727.82244000001,45957.600216000006
47187.377992,44727.82244000001,45957.600216000006
47187.377992,44402.28910400001,45794.83354800001
47083.20022400001,44395.62244800002,45739.41133600001
