../results/wi29_exp_rank_swap3-01.csv,../results/wi29_exp_rank_swap3-02.csv,avg
51883.466896,53290.777952000004,52587.122424
50797.822464000004,51725.42236800001,51261.622416000006
49765.35578400001,51365.04460000001,50565.200192000004
48777.666928000006,50682.644656000004,49730.155792000005
48617.02248000001,50442.511304,49529.766892
48312.844704,50174.06684000001,49243.455772
48290.333591999995,49479.06682400001,48884.700208
48168.77802400001,49264.46684,48716.622432000004
47893.778016,49064.266840000004,48479.022428
47429.71137600001,48915.97796000001,48172.844668000005
47030.60024800001,48583.377952,47806.989100000006
46763.53359200001,48396.68908000001,47580.11133600001
46763.53359200001,48248.75572800001,47506.144660000005
46516.444687999996,48248.75572800001,47382.600208
46516.444687999996,47794.466824,47155.455755999996
46508.35580800001,47676.20016000001,47092.27798400001
46496.91137600001,47676.20016000001,47086.555768000006
46488.86692,47637.155704000004,47063.011312
46371.35580799999,47320.089032,46845.72242
46263.066912,47078.02236,46670.544636000006
46195.622480000005,46580.933464,46388.277972
46006.133592,46580.933464,46293.533528
46006.133592,46580.933464,46293.533528
45737.689128,46494.68900800001,46116.18906800001
45627.7558,46465.48902400001,46046.622412000004
45618.84468,46392.511248,46005.677964
45246.755792,46291.044576,45768.900184
45246.755792,46179.889016,45713.322404000006
45246.755792,46062.26678400001,45654.51128800001
45246.755792,45856.95568,45551.855736
45246.755792,45528.666800000006,45387.71129600001
45246.755792,45447.02237600001,45346.88908400001
45246.755792,45130.733488,45188.744640000004
45228.64467200001,44880.422368,45054.533520000005
45228.64467200001,44853.2446,45040.944636
45096.422448000005,44844.86681600001,44970.64463200001
44562.489136,44710.200152000005,44636.344644
44537.889136,44710.200152000005,44624.044644
44537.889136,44710.200152000005,44624.044644
44535.644688,44669.333512000005,44602.489100000006
44535.644688,44619.733512000006,44577.6891
44535.644688,44566.177952,44550.91132
44535.644688,44558.244624000006,44546.94465600001
44396.378008,44269.333512000005,44332.855760000006
44242.089120000004,44269.333512000005,44255.711316
44242.089120000004,44269.333512000005,44255.711316
44207.622448,44269.333512000005,44238.47798
44094.55576,44269.333512000005,44181.944636
44094.55576,44269.333512000005,44181.944636
44094.55576,44269.333512000005,44181.944636
44094.55576,44212.622384,44153.589072
44094.55576,44195.866832,44145.211296
44084.689088000014,44195.866832,44140.27796000001
44084.689088000014,44104.977951999994,44094.83352
44084.689088000014,44104.977951999994,44094.83352
43904.977984000005,44104.977951999994,44004.977968
43904.977984000005,44104.977951999994,44004.977968
43904.977984000005,43979.711279999996,43942.344632
43881.80020800001,43979.711279999996,43930.755744
43469.266856,43979.711279999996,43724.489067999995
43469.266856,43979.711279999996,43724.489067999995
43469.266856,43979.711279999996,43724.489067999995
43469.266856,43712.644592000004,43590.955724
43469.266856,43712.644592000004,43590.955724
43469.266856,43632.266824000006,43550.766840000004
43456.40017600001,43632.266824000006,43544.33350000001
43456.40017600001,43626.844616,43541.622396000006
43321.33350400001,43626.844616,43474.089060000006
