../results/dj38_exp_rank_mutator002-01.csv,../results/dj38_exp_rank_mutator002-02.csv,avg
10695.666816000003,10702.266880000008,10698.966848000005
10451.266864000005,10358.377976000007,10404.822420000006
10187.200184000005,10148.689112000007,10167.944648000006
10047.600144000002,9947.666888000005,9997.633516000004
9967.200184000001,9765.644672000006,9866.422428000003
9840.911288000001,9626.977992000002,9733.944640000002
9755.955744,9626.977992000002,9691.466868000001
9620.200136000001,9457.311312000003,9538.755724000002
9562.155712000003,9396.022416000005,9479.089064000003
9493.000160000001,9308.911312000006,9400.955736000004
9358.22236,9296.466872000008,9327.344616000004
9208.822352000003,9256.155728000007,9232.489040000004
9208.822352000003,9121.355744000008,9165.089048000005
9177.800128,9115.689096000006,9146.744612000002
9102.155696000003,9098.955760000006,9100.555728000005
9102.155696000003,9083.555752000006,9092.855724000005
9072.844576000003,9060.155760000005,9066.500168000004
8985.577936000005,8999.933560000007,8992.755748000007
8977.511272000005,8999.933560000007,8988.722416000006
8923.511272000005,8937.778000000006,8930.644636000005
8905.889072000005,8935.178000000005,8920.533536000006
8880.755728000004,8887.400208000003,8884.077968000003
8874.200184000007,8837.889088000004,8856.044636000006
8874.200184000007,8837.889088000004,8856.044636000006
8874.200184000007,8830.577952000003,8852.389068000004
8874.200184000007,8815.889064000003,8845.044624000006
8860.044608000004,8815.889064000003,8837.966836000003
8860.044608000004,8815.889064000003,8837.966836000003
8858.289064000004,8804.822400000003,8831.555732000004
8858.289064000004,8804.822400000003,8831.555732000004
8858.289064000004,8804.822400000003,8831.555732000004
8858.289064000004,8804.822400000003,8831.555732000004
8858.289064000004,8756.511272000002,8807.400168000004
8858.289064000004,8747.911256000001,8803.100160000002
8858.289064000004,8747.911256000001,8803.100160000002
8858.289064000004,8747.911256000001,8803.100160000002
8856.444616000004,8718.689056000001,8787.566836000002
8846.666832000003,8718.689056000001,8782.677944000003
8821.266816000003,8715.422384000001,8768.344600000002
8821.266816000003,8708.066800000002,8764.666808000002
8821.266816000003,8684.377928000002,8752.822372000002
8821.266816000003,8684.377928000002,8752.822372000002
8821.266816000003,8666.955704000004,8744.111260000003
8804.955696000003,8666.955704000004,8735.955700000002
8777.355688000003,8666.955704000004,8722.155696000003
8747.577912000002,8666.955704000004,8707.266808000004
8722.555688000002,8666.955704000004,8694.755696000004
8713.000144000003,8623.844592000003,8668.422368000003
8685.400136000004,8620.800176000004,8653.100156000004
8685.400136000004,8620.800176000004,8653.100156000004
8685.400136000004,8620.800176000004,8653.100156000004
8672.111256000006,8620.800176000004,8646.455716000004
8672.111256000006,8620.800176000004,8646.455716000004
8672.111256000006,8620.800176000004,8646.455716000004
8662.933480000005,8597.555720000002,8630.244600000004
8659.733464000004,8577.600168000003,8618.666816000004
8659.733464000004,8571.000176000003,8615.366820000003
8659.733464000004,8571.000176000003,8615.366820000003
8658.355696000004,8563.133496000002,8610.744596000004
8652.533464000002,8563.133496000002,8607.833480000001
8652.244576000003,8563.133496000002,8607.689036000003
8652.244576000003,8530.777960000003,8591.511268000002
8652.244576000003,8530.777960000003,8591.511268000002
8637.400128000003,8530.777960000003,8584.089044000004
8637.400128000003,8496.422408000002,8566.911268000003
8637.400128000003,8496.422408000002,8566.911268000003
8637.400128000003,8496.422408000002,8566.911268000003
8637.400128000003,8496.422408000002,8566.911268000003
8637.400128000003,8496.422408000002,8566.911268000003
8637.400128000003,8496.422408000002,8566.911268000003
8637.400128000003,8496.422408000002,8566.911268000003
8637.400128000003,8496.422408000002,8566.911268000003
8637.400128000003,8461.444640000003,8549.422384000003
8615.444568,8461.444640000003,8538.444604000002
8615.444568,8461.444640000003,8538.444604000002
8615.444568,8461.444640000003,8538.444604000002
8615.444568,8436.133520000001,8525.789044000001
8615.444568,8436.133520000001,8525.789044000001
8615.444568,8436.133520000001,8525.789044000001
8603.400104000002,8436.133520000001,8519.766812000002
8603.400104000002,8436.133520000001,8519.766812000002
8596.311216000004,8436.133520000001,8516.222368000002
8596.311216000004,8436.133520000001,8516.222368000002
