../results/qa194_swap-2-01.csv,../results/qa194_swap-2-02.csv,avg
5812.333632000012,5864.622536000014,5838.478084000013
5710.86698400001,5720.178088000011,5715.52253600001
5648.889208000013,5576.24473600001,5612.566972000011
5522.844752000012,5479.6002960000105,5501.222524000012
5463.11139200001,5460.622536000011,5461.86696400001
5407.911416000013,5453.64475200001,5430.778084000011
5393.91139200001,5444.555880000012,5419.233636000011
5353.133616000011,5432.24476800001,5392.689192000011
5311.666960000011,5389.600336000011,5350.633648000012
5272.178056000012,5360.689208000012,5316.433632000011
5253.333608000011,5311.7558800000115,5282.544744000012
5253.333608000011,5311.244768000012,5282.289188000012
5251.866952000011,5311.244768000012,5281.555860000011
5232.066944000011,5310.178072000012,5271.122508000011
5223.62249600001,5300.489184000013,5262.055840000012
5196.0225040000105,5300.489184000013,5248.255844000012
5173.933632000011,5289.4002880000135,5231.666960000012
5151.57807200001,5280.333640000014,5215.955856000012
5148.578088000011,5260.000296000014,5204.289192000013
5148.578088000011,5241.933616000014,5195.255852000013
5148.578088000011,5238.600280000013,5193.589184000012
5148.578088000011,5238.600280000013,5193.589184000012
5148.1780800000115,5233.489184000015,5190.833632000013
5148.1780800000115,5197.666960000013,5172.922520000013
5148.1780800000115,5197.666960000013,5172.922520000013
5104.289200000013,5197.444744000013,5150.8669720000125
5104.289200000013,5197.444744000013,5150.8669720000125
5102.378096000012,5197.444744000013,5149.911420000013
5102.378096000012,5197.444744000013,5149.911420000013
5099.555864000012,5177.733616000012,5138.6447400000125
5094.689192000011,5171.000288000013,5132.844740000011
5072.978072000011,5171.000288000013,5121.989180000011
5072.978072000011,5145.489160000012,5109.233616000011
5071.489176000012,5119.266952000013,5095.378064000012
5071.489176000012,5119.266952000013,5095.378064000012
5071.489176000012,5097.889160000013,5084.689168000013
5058.311400000011,5091.466944000013,5074.889172000012
5058.311400000011,5091.466944000013,5074.889172000012
5037.422512000011,5091.466944000013,5064.444728000012
5037.422512000011,5067.111392000013,5052.266952000013
5037.422512000011,5065.2669520000145,5051.344732000012
5037.422512000011,5045.800288000014,5041.6114000000125
5030.155848000011,5045.311400000014,5037.733624000013
4998.86693600001,5045.311400000014,5022.089168000012
4993.200256000012,5044.866944000013,5019.0336000000125
4993.200256000012,5044.866944000013,5019.0336000000125
4993.200256000012,5039.400272000013,5016.300264000012
4965.000256000012,5021.511392000013,4993.255824000013
4965.000256000012,4984.622488000014,4974.811372000013
4962.933576000011,4977.089144000013,4970.011360000012
4962.933576000011,4959.355808000014,4961.144692000013
4948.7335840000105,4959.355808000014,4954.044696000012
4948.7335840000105,4925.311384000013,4937.022484000012
4942.955808000011,4925.311384000013,4934.133596000012
4941.355816000011,4925.311384000013,4933.333600000013
4938.089152000011,4925.311384000013,4931.700268000012
4927.178032000011,4925.311384000013,4926.244708000012
4926.400248000011,4925.311384000013,4925.855816000012
4926.400248000011,4925.311384000013,4925.855816000012
4920.4446800000105,4925.311384000013,4922.878032000011
4920.4446800000105,4925.311384000013,4922.878032000011
4898.355800000012,4925.311384000013,4911.833592000013
4898.355800000012,4925.311384000013,4911.833592000013
4890.28912000001,4925.311384000013,4907.800252000012
4890.28912000001,4907.289168000014,4898.789144000012
4890.28912000001,4907.289168000014,4898.789144000012
4864.466912000011,4897.689160000014,4881.078036000013
4844.8002400000105,4897.689160000014,4871.244700000012
4836.355808000011,4876.066936000014,4856.2113720000125
4833.689144000012,4876.066936000014,4854.878040000012
4831.800248000011,4871.555824000014,4851.678036000012
4831.800248000011,4850.444728000014,4841.122488000013
4825.889136000012,4844.022512000014,4834.955824000013
4825.889136000012,4825.155832000014,4825.522484000013
4825.889136000012,4825.155832000014,4825.522484000013
4825.889136000012,4825.155832000014,4825.522484000013
4811.600240000012,4825.155832000014,4818.378036000013
4811.600240000012,4825.155832000014,4818.378036000013
4803.689128000012,4825.155832000014,4814.422480000013
4799.3780160000115,4825.155832000014,4812.266924000012
4799.3780160000115,4825.155832000014,4812.266924000012
4799.111360000011,4825.155832000014,4812.133596000012
4793.244704000011,4825.155832000014,4809.200268000012
4790.511368000012,4825.155832000014,4807.833600000013
4790.511368000012,4825.155832000014,4807.833600000013
4790.511368000012,4823.978040000014,4807.244704000013
4790.511368000012,4823.978040000014,4807.244704000013
4790.511368000012,4823.978040000014,4807.244704000013
4790.511368000012,4823.978040000014,4807.244704000013
4770.733592000013,4823.978040000014,4797.355816000014
4761.911368000013,4820.644720000014,4791.278044000013
4761.911368000013,4820.644720000014,4791.278044000013
4729.111360000011,4820.644720000014,4774.878040000012
4729.111360000011,4811.200264000014,4770.155812000012
4729.111360000011,4811.200264000014,4770.155812000012
4729.111360000011,4808.222488000014,4768.666924000012
4729.111360000011,4808.222488000014,4768.666924000012
4729.111360000011,4808.222488000014,4768.666924000012
4724.489136000011,4808.222488000014,4766.3558120000125
4724.489136000011,4808.222488000014,4766.3558120000125
4724.489136000011,4808.222488000014,4766.3558120000125
4724.489136000011,4804.800272000015,4764.644704000013
4719.933576000011,4804.800272000015,4762.366924000013
4719.933576000011,4767.733600000014,4743.833588000012
4719.933576000011,4744.133592000015,4732.033584000013
4719.933576000011,4744.133592000015,4732.033584000013
4719.933576000011,4744.133592000015,4732.033584000013
4719.933576000011,4744.133592000015,4732.033584000013
4719.933576000011,4744.133592000015,4732.033584000013
4719.933576000011,4744.133592000015,4732.033584000013
4717.42245600001,4744.133592000015,4730.778024000012
4717.42245600001,4744.133592000015,4730.778024000012
4717.42245600001,4744.133592000015,4730.778024000012
4717.42245600001,4744.133592000015,4730.778024000012
4717.42245600001,4744.133592000015,4730.778024000012
4717.42245600001,4744.133592000015,4730.778024000012
4717.42245600001,4744.133592000015,4730.778024000012
4717.42245600001,4743.444712000016,4730.433584000013
4717.42245600001,4743.444712000016,4730.433584000013
4712.311368000011,4726.955848000017,4719.633608000014
4709.26692000001,4726.955848000017,4718.1113840000135
4709.26692000001,4726.955848000017,4718.1113840000135
4706.91136000001,4717.644728000017,4712.278044000013
