../results/qa194_exp_rank_swap2-01.csv,../results/qa194_exp_rank_swap2-02.csv,avg
5885.800320000013,5771.400328000013,5828.600324000014
5748.666968000012,5722.422568000014,5735.5447680000125
5706.866976000012,5667.378120000013,5687.122548000012
5681.778064000013,5583.933632000011,5632.855848000012
5621.266960000016,5536.37804000001,5578.822500000013
5589.600304000017,5501.33358400001,5545.466944000013
5566.889152000015,5481.66691200001,5524.278032000013
5523.733632000014,5468.822472000011,5496.278052000012
5460.889200000013,5402.178040000014,5431.533620000014
5406.311432000016,5363.333592000014,5384.822512000015
5405.089208000015,5346.355832000014,5375.722520000014
5401.2003040000145,5328.400272000013,5364.800288000013
5362.022520000015,5309.800280000014,5335.9114000000145
5336.9114000000145,5302.000280000015,5319.455840000015
5319.555856000015,5277.844744000015,5298.700300000015
5309.978072000015,5261.200288000016,5285.589180000015
5292.600264000012,5233.666968000016,5263.133616000014
5280.933576000014,5229.511424000017,5255.222500000015
5271.066904000014,5205.489192000017,5238.278048000016
5271.066904000014,5176.466960000017,5223.766932000015
5250.666904000013,5162.666960000017,5206.666932000015
5182.422464000012,5162.666960000017,5172.544712000014
5172.3780160000115,5161.178088000018,5166.778052000014
5170.355800000011,5109.289168000014,5139.822484000013
5160.311360000011,5107.755840000014,5134.0336000000125
5160.311360000011,5107.755840000014,5134.0336000000125
5160.311360000011,5094.733616000015,5127.522488000013
5121.066944000013,5094.733616000015,5107.900280000014
5112.244720000012,5094.733616000015,5103.489168000014
5096.755816000012,5074.733608000014,5085.744712000012
5084.578032000011,5065.711392000014,5075.144712000012
5084.578032000011,5015.555832000014,5050.0669320000125
5059.933608000012,5015.555832000014,5037.744720000013
5050.422488000012,4986.666944000012,5018.544716000012
5022.644712000012,4986.666944000012,5004.655828000012
5022.644712000012,4986.666944000012,5004.655828000012
5022.644712000012,4959.755816000013,4991.200264000012
5020.466944000013,4959.755816000013,4990.111380000013
5020.466944000013,4951.511384000013,4985.989164000013
5012.022480000013,4949.666944000013,4980.844712000013
5012.022480000013,4927.355816000012,4969.689148000012
5003.355824000014,4927.355816000012,4965.355820000013
5003.355824000014,4927.355816000012,4965.355820000013
5003.355824000014,4927.355816000012,4965.355820000013
5003.355824000014,4927.355816000012,4965.355820000013
5003.355824000014,4922.689144000011,4963.022484000012
5003.355824000014,4922.689144000011,4963.022484000012
4999.511392000014,4922.689144000011,4961.100268000013
4988.689168000014,4921.866912000011,4955.278040000013
4988.689168000014,4921.866912000011,4955.278040000013
4978.244728000014,4921.866912000011,4950.055820000012
4967.666960000014,4921.866912000011,4944.766936000013
4967.666960000014,4921.866912000011,4944.766936000013
4961.533624000014,4921.866912000011,4941.700268000013
4961.533624000014,4921.866912000011,4941.700268000013
4951.289184000015,4921.866912000011,4936.578048000013
4949.2669680000145,4904.689128000011,4926.978048000013
4949.2669680000145,4901.6669120000115,4925.466940000013
4938.2669680000145,4895.844696000012,4917.055832000013
4929.911416000015,4895.844696000012,4912.878056000014
4929.911416000015,4895.844696000012,4912.878056000014
4929.911416000015,4895.844696000012,4912.878056000014
4914.866984000015,4891.311360000012,4903.089172000014
4914.866984000015,4891.311360000012,4903.089172000014
4914.866984000015,4891.311360000012,4903.089172000014
4913.289208000014,4891.311360000012,4902.300284000014
4913.289208000014,4886.911352000012,4900.100280000013
4899.800304000013,4886.911352000012,4893.3558280000125
4899.800304000013,4886.911352000012,4893.3558280000125
4899.800304000013,4886.911352000012,4893.3558280000125
4899.800304000013,4886.000248000012,4892.900276000013
4899.800304000013,4886.000248000012,4892.900276000013
4899.800304000013,4886.000248000012,4892.900276000013
4889.711416000013,4885.911352000011,4887.8113840000115
4889.711416000013,4873.311344000011,4881.511380000012
4889.711416000013,4863.955808000011,4876.833612000011
4889.711416000013,4844.77804000001,4867.2447280000115
4889.711416000013,4841.155824000011,4865.4336200000125
4876.822520000013,4841.155824000011,4858.989172000012
4876.6891840000135,4840.133608000012,4858.411396000012
4876.6891840000135,4826.2447200000115,4851.4669520000125
4876.6891840000135,4826.2447200000115,4851.4669520000125
4869.444736000013,4826.2447200000115,4847.844728000013
4869.444736000013,4826.2447200000115,4847.844728000013
4860.022528000014,4826.2447200000115,4843.133624000013
4860.022528000014,4826.2447200000115,4843.133624000013
4859.6225200000135,4826.2447200000115,4842.9336200000125
4859.6225200000135,4826.2447200000115,4842.9336200000125
4859.6225200000135,4826.2447200000115,4842.9336200000125
4859.6225200000135,4826.2447200000115,4842.9336200000125
4859.6225200000135,4812.666936000012,4836.144728000013
4848.400280000013,4812.666936000012,4830.5336080000125
4848.400280000013,4810.866928000012,4829.633604000012
4841.889168000012,4810.866928000012,4826.378048000012
4841.889168000012,4810.866928000012,4826.378048000012
4841.889168000012,4810.866928000012,4826.378048000012
4834.644712000012,4810.866928000012,4822.755820000012
4822.778056000013,4810.866928000012,4816.822492000012
4822.778056000013,4810.866928000012,4816.822492000012
4822.578056000013,4810.866928000012,4816.722492000013
4822.578056000013,4810.866928000012,4816.722492000013
4812.889168000013,4810.866928000012,4811.878048000013
4812.889168000013,4810.866928000012,4811.878048000013
4812.889168000013,4805.111376000012,4809.000272000012
4812.889168000013,4802.222496000012,4807.555832000013
4812.889168000013,4801.444696000012,4807.166932000013
4812.889168000013,4801.444696000012,4807.166932000013
4812.889168000013,4796.800264000013,4804.844716000013
4790.778064000014,4795.978048000014,4793.378056000014
4790.778064000014,4785.000264000013,4787.889164000013
4790.778064000014,4785.000264000013,4787.889164000013
4788.044744000015,4785.000264000013,4786.522504000014
4788.044744000015,4783.5335920000125,4785.789168000014
