../results/wi29_exp_rank_mutator002-01.csv,../results/wi29_exp_rank_mutator002-02.csv,avg
53808.20016000001,53725.17800800001,53766.68908400001
52439.800152,51354.22244000002,51897.01129600001
50617.311352000004,50523.911336000005,50570.611344000004
49898.378016,49028.200216000005,49463.289116
49455.44468,48472.600224,48964.022452000005
48977.644664,48236.800208,48607.222436
48447.866896,47482.889103999994,47965.378
48388.466912,47465.177992000004,47926.82245200001
48290.178008,47298.044671999996,47794.11134
48049.06689600001,46997.889152,47523.47802400001
48049.06689600001,46890.266912,47469.666904000005
47932.733568,46873.311368,47403.022468
47386.311344,46678.044712,47032.178028
47121.866903999995,46494.46692,46808.166912
46718.778000000006,46484.178024,46601.47801200001
46671.22244800001,46333.80024000001,46502.51134400001
46512.177976,45683.0002,46097.589088
46126.62242400001,45683.0002,45904.811312000005
46033.955776,45516.31132,45775.133548
45658.33354400001,45402.17798400001,45530.25576400001
45658.33354400001,45402.17798400001,45530.25576400001
45536.911312000004,45376.977984000005,45456.944648000004
45536.911312000004,44938.377976,45237.644644
45536.911312000004,44938.377976,45237.644644
45522.55575200001,44938.377976,45230.466864
45522.55575200001,44736.155752,45129.355752
45401.377976,44736.155752,45068.766864000005
44707.48906400001,44736.155752,44721.82240800001
44323.46684800001,44582.044648,44452.75574800001
44242.11131200001,44536.71131200001,44389.41131200001
43993.86688000001,44536.71131200001,44265.28909600001
43993.68911200001,44435.933528000016,44214.81132000001
43993.68911200001,44435.933528000016,44214.81132000001
43993.68911200001,44408.689072,44201.189092
43993.68911200001,44408.689072,44201.189092
43871.022448,44406.911296000006,44138.966872000005
43707.33354400001,44313.289064000004,44010.311304
43707.33354400001,44313.289064000004,44010.311304
43525.11132,44313.289064000004,43919.200192000004
43525.11132,44313.289064000004,43919.200192000004
43407.62242400001,44313.289064000004,43860.455744000006
43407.62242400001,44313.289064000004,43860.455744000006
43407.62242400001,44160.57796000001,43784.10019200001
43407.62242400001,44160.57796000001,43784.10019200001
43407.62242400001,44160.57796000001,43784.10019200001
43407.62242400001,44160.57796000001,43784.10019200001
43407.62242400001,44102.244632,43754.93352800001
43290.22241600001,44102.244632,43696.23352400001
43290.22241600001,43971.355728,43630.78907200001
43233.64463200001,43971.355728,43602.50018
43233.64463200001,43911.777952000004,43572.71129200001
43233.64463200001,43911.777952000004,43572.71129200001
43233.64463200001,43836.466840000016,43535.05573600001
43110.08907200001,43836.466840000016,43473.27795600001
43110.08907200001,43836.466840000016,43473.27795600001
43110.08907200001,43812.466840000016,43461.27795600001
43110.08907200001,43740.46684,43425.277956000005
43110.08907200001,43740.46684,43425.277956000005
43110.08907200001,43740.46684,43425.277956000005
43110.08907200001,43740.46684,43425.277956000005
43110.08907200001,43740.46684,43425.277956000005
42915.13352000001,43740.46684,43327.800180000006
42915.13352000001,43661.37796000001,43288.25574000001
42915.13352000001,43661.37796000001,43288.25574000001
42726.422408000006,43661.37796000001,43193.90018400001
42726.422408000006,43661.37796000001,43193.90018400001
42726.422408000006,43661.37796000001,43193.90018400001
42718.64462400001,43661.37796000001,43190.01129200001
42718.64462400001,43652.60017600001,43185.62240000001
42718.64462400001,43652.60017600001,43185.62240000001
42718.64462400001,43652.60017600001,43185.62240000001
42586.44463200001,43652.60017600001,43119.52240400001
