../results/qa194_exp_rank_mutator002-01.csv,../results/qa194_exp_rank_mutator002-02.csv,avg
6075.267064000015,5933.978104000014,6004.622584000015
5983.800360000014,5655.800344000014,5819.800352000014
5765.022560000012,5597.955944000015,5681.489252000014
5707.644784000013,5509.178152000017,5608.411468000015
5645.111464000013,5463.422592000017,5554.267028000015
5527.578128000014,5450.355904000016,5488.967016000015
5489.289224000012,5433.289256000017,5461.289240000015
5405.978088000012,5369.0003520000155,5387.489220000014
5352.77809600001,5369.0003520000155,5360.889224000013
5322.04474400001,5320.4225520000155,5321.233648000012
5258.866960000007,5270.644752000017,5264.7558560000125
5258.866960000007,5221.444736000017,5240.155848000011
5237.666944000008,5213.111408000016,5225.3891760000115
5218.266936000007,5210.711424000017,5214.489180000012
5157.2225200000075,5199.244760000017,5178.233640000012
5117.889184000009,5199.244760000017,5158.566972000013
5089.400312000009,5178.689200000016,5134.044756000012
5065.978088000008,5175.222544000017,5120.600316000013
5065.978088000008,5153.444760000017,5109.711424000012
5065.978088000008,5148.933648000017,5107.455868000012
5065.978088000008,5148.933648000017,5107.455868000012
5036.089192000009,5136.444760000017,5086.266976000013
5014.644744000008,5114.844744000017,5064.744744000012
5014.644744000008,5097.333640000015,5055.989192000012
5009.489184000008,5091.311408000015,5050.400296000012
5009.489184000008,5091.311408000015,5050.400296000012
5004.511400000008,5091.311408000015,5047.911404000011
4999.755848000009,5091.311408000015,5045.533628000012
4999.755848000009,5091.311408000015,5045.533628000012
4999.755848000009,5085.444736000015,5042.600292000012
4999.755848000009,5077.933648000015,5038.844748000012
4999.755848000009,5077.933648000015,5038.844748000012
4995.022512000009,5077.933648000015,5036.478080000012
4979.111376000008,5060.778088000015,5019.944732000011
4979.111376000008,5060.778088000015,5019.944732000011
4979.111376000008,5056.844744000014,5017.97806000001
4979.111376000008,5056.844744000014,5017.97806000001
4972.666920000009,5056.844744000014,5014.755832000012
4965.044704000008,5056.844744000014,5010.944724000011
4950.533584000009,5056.844744000014,5003.689164000011
4950.533584000009,5056.844744000014,5003.689164000011
4949.04468800001,5056.844744000014,5002.944716000012
4949.04468800001,5051.644744000014,5000.344716000012
4949.04468800001,5051.644744000014,5000.344716000012
4943.13358400001,5038.266968000014,4990.700276000012
4943.13358400001,5038.266968000014,4990.700276000012
4943.13358400001,5038.266968000014,4990.700276000012
4943.13358400001,5012.466976000013,4977.800280000012
4932.244696000012,5010.022520000013,4971.133608000013
4932.244696000012,5010.000288000013,4971.122492000012
4926.422472000009,5010.000288000013,4968.211380000012
4902.20024000001,4996.711384000012,4949.455812000011
4902.20024000001,4996.711384000012,4949.455812000011
4902.20024000001,4996.711384000012,4949.455812000011
4898.11135200001,4992.444712000011,4945.278032000011
4898.11135200001,4992.444712000011,4945.278032000011
4898.11135200001,4972.733600000012,4935.422476000011
4898.11135200001,4962.378040000012,4930.244696000011
4898.11135200001,4944.400256000012,4921.255804000011
4898.11135200001,4942.355816000013,4920.233584000011
4898.11135200001,4942.355816000013,4920.233584000011
4898.11135200001,4942.355816000013,4920.233584000011
4898.11135200001,4942.355816000013,4920.233584000011
4898.11135200001,4942.355816000013,4920.233584000011
4898.11135200001,4942.355816000013,4920.233584000011
4898.11135200001,4942.355816000013,4920.233584000011
4898.11135200001,4942.355816000013,4920.233584000011
4898.11135200001,4937.933600000014,4918.022476000012
4898.11135200001,4937.933600000014,4918.022476000012
4898.11135200001,4937.933600000014,4918.022476000012
4898.11135200001,4937.933600000014,4918.022476000012
4898.11135200001,4937.933600000014,4918.022476000012
4878.311360000011,4937.933600000014,4908.122480000013
4872.86692800001,4937.933600000014,4905.400264000013
