../results/wi29_exp_rank_swap1-01.csv,../results/wi29_exp_rank_swap1-02.csv,avg
53184.71128,52529.511320000005,52857.111300000004
52073.8446,51808.000208,51940.922404
51045.42242400001,50731.244655999995,50888.33354000001
50658.333536,50471.400224000005,50564.86688
50329.822424000005,49935.022416000014,50132.42242000001
50143.733528000004,49310.422408000006,49727.077968000005
49357.022408000004,49182.77797600001,49269.90019200001
49112.933528000016,49065.40020800001,49089.166868000015
49074.31128,49065.40020800001,49069.855744
49074.31128,48996.066872,49035.189076
49016.91125600001,48792.75576,48904.833508
48968.800152,48639.222432,48804.011292
48567.577936,48354.466872000005,48461.022404
48477.066816000006,48005.84464800001,48241.45573200001
48164.866808,47995.333528,48080.100168000004
47904.666816000004,47983.22242400001,47943.94462000001
47653.82236800001,47531.64463200001,47592.73350000001
47481.911248000004,47380.82240800001,47431.366828000006
47454.37791200001,47380.82240800001,47417.60016000001
47176.822368,47333.51128800001,47255.166828
47070.422368,47228.111280000005,47149.266824000006
47020.37792800001,47179.333512000005,47099.85572000001
46726.244600000005,47027.355736000005,46876.800168
46726.244600000005,46999.0224,46862.6335
46613.22238400001,46999.0224,46806.122392000005
46613.22238400001,46890.000184000004,46751.611284000006
46561.53348000001,46880.666856,46721.100168000004
46484.200152000005,46798.200192,46641.200172
46392.28904800001,46486.20020000001,46439.24462400001
46392.28904800001,46486.20020000001,46439.24462400001
46365.66684800001,46486.20020000001,46425.93352400001
46132.82240800001,46486.20020000001,46309.51130400001
46081.80018400001,46486.20020000001,46284.00019200001
45973.48908000001,46345.71132000001,46159.60020000001
45973.48908000001,46345.71132000001,46159.60020000001
45973.48908000001,46302.266855999995,46137.877968
45973.48908000001,46266.222424,46119.855752
45973.48908000001,46170.13353600001,46071.811308000004
45770.644640000006,46101.08909600001,45935.86686800001
45735.71130400001,46075.04464,45905.377972
45652.666864000006,46026.511304,45839.58908400001
45633.46687200001,45873.48908,45753.47797600001
45633.46687200001,45873.48908,45753.47797600001
45571.422432000014,45873.48908,45722.45575600001
45571.422432000014,45832.289079999995,45701.855756000004
45571.422432000014,45659.11128800001,45615.26686000001
45571.422432000014,45584.86685599999,45578.144644
45403.511320000005,45584.86685599999,45494.189088
45403.511320000005,45584.86685599999,45494.189088
45265.35576800001,45431.66684800001,45348.51130800001
45265.35576800001,45431.66684800001,45348.51130800001
45265.35576800001,45238.266840000004,45251.811304
45265.35576800001,45238.266840000004,45251.811304
45204.155776000014,45152.66684800001,45178.41131200001
45201.42244000001,45125.111272,45163.266856
45201.42244000001,45125.111272,45163.266856
45201.42244000001,45125.111272,45163.266856
45147.644656000004,45125.111272,45136.377964
45147.644656000004,44894.933511999996,45021.289084000004
45130.93354400001,44894.933511999996,45012.933528
45130.93354400001,44894.933511999996,45012.933528
45130.93354400001,44805.533511999995,44968.233528
45039.15576800001,44805.533511999995,44922.34464
45039.15576800001,44805.533511999995,44922.34464
44948.93354400001,44805.533511999995,44877.233528
44880.15576800001,44736.511304,44808.333536000006
44880.15576800001,44736.511304,44808.333536000006
44880.15576800001,44736.511304,44808.333536000006
44571.73352000001,44736.511304,44654.122412000004
44571.73352000001,44736.511304,44654.122412000004
44571.73352000001,44736.511304,44654.122412000004
44539.53352000001,44736.511304,44638.022412000006
44539.53352000001,44736.511304,44638.022412000006
44539.53352000001,44677.53353600001,44608.533528000014
44539.53352000001,44677.53353600001,44608.533528000014
44483.60018400001,44677.53353600001,44580.566860000006
44483.60018400001,44677.53353600001,44580.566860000006
44355.91128800001,44677.53353600001,44516.72241200001
44355.91128800001,44608.08909600001,44482.00019200001
44279.911296000006,44414.68908,44347.300188
44279.911296000006,44414.68908,44347.300188
44279.911296000006,44279.48907200001,44279.70018400001
44279.911296000006,44279.48907200001,44279.70018400001
44279.911296000006,44279.48907200001,44279.70018400001
44279.911296000006,44279.48907200001,44279.70018400001
44279.911296000006,44279.48907200001,44279.70018400001
44279.68908000001,44196.13352,44237.91130000001
44279.68908000001,44196.13352,44237.91130000001
44276.733528000004,44196.13352,44236.43352400001
44218.066864,44196.13352,44207.100192
44092.733528000004,44196.13352,44144.43352400001
43974.844639999996,44196.13352,44085.48908
43866.289072000014,44177.489088,44021.88908000001
43590.289056,44177.489088,43883.889072000005
43590.289056,44177.489088,43883.889072000005
43590.289056,44177.489088,43883.889072000005
43590.289056,44177.489088,43883.889072000005
43590.289056,43998.13354400001,43794.21130000001
43590.289056,43998.13354400001,43794.21130000001
43590.289056,43998.13354400001,43794.21130000001
43590.289056,43998.13354400001,43794.21130000001
43590.289056,43998.13354400001,43794.21130000001
43437.733496,43998.13354400001,43717.933520000006
43291.06683200001,43998.13354400001,43644.60018800001
43291.06683200001,43744.577992000006,43517.82241200001
43291.06683200001,43744.577992000006,43517.82241200001
43284.644592000004,43744.577992000006,43514.611292
43284.644592000004,43744.577992000006,43514.611292
43284.644592000004,43736.73354400002,43510.68906800001
43284.644592000004,43736.73354400002,43510.68906800001
43284.644592000004,43736.73354400002,43510.68906800001
43284.644592000004,43736.73354400002,43510.68906800001
43284.644592000004,43736.73354400002,43510.68906800001
43284.644592000004,43736.73354400002,43510.68906800001
43284.644592000004,43736.73354400002,43510.68906800001
43284.644592000004,43736.73354400002,43510.68906800001
43284.644592000004,43734.466864,43509.55572800001
43284.644592000004,43725.133528000006,43504.88906
43284.644592000004,43725.133528000006,43504.88906
43284.644592000004,43593.244624000006,43438.944608000005
43284.644592000004,43593.244624000006,43438.944608000005
43284.644592000004,43487.311296000014,43385.97794400001
43284.644592000004,43487.311296000014,43385.97794400001
43284.644592000004,43487.311296000014,43385.97794400001
43260.000144000005,43381.75573600001,43320.877940000006
43013.95570400001,43381.75573600001,43197.85572000001
42886.666808,43351.889072000005,43119.27794
42886.666808,43351.889072000005,43119.27794
42886.666808,43351.889072000005,43119.27794
42886.666808,43245.2224,43065.944604000004
42886.666808,43245.2224,43065.944604000004
42886.666808,43209.64462400001,43048.15571600001
42886.666808,43209.64462400001,43048.15571600001
