../results/wi29_exp_rank_mutator000-01.csv,../results/wi29_exp_rank_mutator000-02.csv,avg
54160.97794400001,52953.244696,53557.11132000001
52865.77792800001,52123.11135200001,52494.44464000001
51246.93348800001,50908.400192,51077.666840000005
50658.00019200002,50534.289079999995,50596.14463600001
50054.644640000006,50372.733512000006,50213.68907600001
49338.466816000015,50248.37796,49793.422388000006
48670.06678400002,49858.022432000005,49264.04460800001
48105.15568000001,49649.55576,48877.35572000001
47957.88900000001,49465.444648000004,48711.66682400001
47580.31121600001,48910.022408,48245.166812
47398.37789600002,48806.133512,48102.25570400001
47101.711224000006,48749.444608000005,47925.57791600001
47071.822344000015,48535.689056,47803.75570000001
47069.66678400001,48500.46684,47785.066812000005
46963.35567200001,48394.000152,47678.67791200001
46774.77787200001,48273.35570400001,47524.06678800001
46774.77787200001,48191.75572000001,47483.26679600001
46749.11121600001,48082.42239200001,47415.76680400001
46749.11121600001,48082.42239200001,47415.76680400001
46680.244560000014,47712.80020800001,47196.52238400001
46680.244560000014,47627.466872000005,47153.855716000005
46562.82235200001,47534.911296000006,47048.86682400001
46310.17792000002,47287.533504,46798.855712000004
46137.400152,47278.200176,46707.800164
46137.400152,47206.955735999996,46672.177943999995
46127.15571200001,47206.955735999996,46667.055724000005
46127.15571200001,47206.955735999996,46667.055724000005
46127.15571200001,47172.977960000004,46650.066836000005
46077.31126400001,46858.289088000005,46467.800176000004
45984.822384000014,46718.666856,46351.74462000001
45984.822384000014,46718.666856,46351.74462000001
45975.53348000001,46650.333528,46312.93350400001
45965.489032000005,46650.333528,46307.91128
45965.489032000005,46650.333528,46307.91128
45936.24457600001,46384.355744,46160.300160000006
45866.24455200002,46328.000192,46097.12237200001
45775.577888000014,46177.333528,45976.45570800001
45572.06677600002,46023.022416,45797.54459600001
45572.06677600002,46023.022416,45797.54459600001
45550.02233600002,46023.022416,45786.52237600001
45515.35566400001,46023.022416,45769.189040000005
45515.35566400001,46023.022416,45769.189040000005
45515.35566400001,46023.022416,45769.189040000005
45511.06676800001,46023.022416,45767.044592000006
45511.06676800001,45888.666848,45699.866808000006
45428.88898400001,45888.666848,45658.77791600001
45428.88898400001,45888.666848,45658.77791600001
45428.88898400001,45888.666848,45658.77791600001
45428.88898400001,45696.533536,45562.71126000001
45428.88898400001,45696.533536,45562.71126000001
45334.20010400001,45629.977968,45482.089036000005
45334.20010400001,45468.93355200001,45401.56682800001
45334.20010400001,45468.93355200001,45401.56682800001
45334.20010400001,45383.77798400001,45358.98904400001
45334.20010400001,45256.222431999995,45295.211268
45334.20010400001,45256.222431999995,45295.211268
45234.35566400001,45256.222431999995,45245.289048000006
45234.35566400001,45167.533536,45200.9446
45234.35566400001,45167.533536,45200.9446
45234.35566400001,45167.533536,45200.9446
45231.33344800001,45167.533536,45199.43349200001
45231.33344800001,45167.533536,45199.43349200001
45231.33344800001,45167.533536,45199.43349200001
45231.33344800001,45167.533536,45199.43349200001
45231.33344800001,44912.75576,45072.04460400001
45231.33344800001,44780.400224000005,45005.86683600001
45231.33344800001,44780.400224000005,45005.86683600001
45217.977896000004,44780.400224000005,44999.189060000004
45188.75567200001,44738.33356000001,44963.54461600001
45012.777888000004,44738.33356000001,44875.555724000005
45012.777888000004,44726.33356000001,44869.555724000005
44892.40012800001,44595.666896,44744.03351200001
44892.40012800001,44595.666896,44744.03351200001
44892.40012800001,44595.666896,44744.03351200001
44892.40012800001,44505.000232000006,44698.70018000001
44858.97791200001,44421.866903999995,44640.422408
44854.75569600001,44421.866903999995,44638.3113
44819.37792000001,44421.866903999995,44620.622412000004
44796.53346400001,44421.866903999995,44609.200184
44550.86680800001,44421.866903999995,44486.36685600001
44550.86680800001,44310.755792,44430.81130000001
44550.86680800001,44310.755792,44430.81130000001
44550.86680800001,44310.755792,44430.81130000001
44437.266808,44310.755792,44374.0113
44437.266808,44310.755792,44374.0113
44314.71124800001,44310.755792,44312.73352000001
44280.044592000006,44310.755792,44295.400192
44229.28904,44077.000232000006,44153.144636000005
