../results/qa194_reverse-4-01.csv,../results/qa194_reverse-4-02.csv,avg
5652.155904000014,6003.889240000013,5828.0225720000135
5607.533688000017,5964.511464000014,5786.022576000016
5574.222552000016,5895.555872000014,5734.889212000015
5535.267000000016,5796.333624000012,5665.800312000014
5499.466984000016,5771.200280000011,5635.3336320000135
5499.466984000016,5728.266960000009,5613.8669720000125
5473.822544000015,5711.22252000001,5592.522532000013
5432.355880000015,5711.22252000001,5571.789200000012
5406.889192000015,5669.75584000001,5538.322516000013
5403.822528000015,5663.822496000012,5533.822512000013
5368.933640000015,5638.400272000011,5503.666956000013
5312.111384000014,5623.555832000012,5467.833608000014
5303.889128000014,5600.866952000011,5452.378040000012
5301.1113600000135,5575.6002880000115,5438.355824000013
5252.444680000011,5552.822504000012,5402.633592000011
5236.444680000012,5525.200312000013,5380.8224960000125
5236.444680000012,5498.378088000011,5367.411384000012
5236.444680000012,5493.867000000011,5365.155840000012
5236.444680000012,5490.355888000012,5363.400284000012
5230.711352000012,5485.5336560000105,5358.122504000012
5230.711352000012,5465.6003040000105,5348.155828000012
5230.711352000012,5450.222528000012,5340.466940000012
5229.400232000013,5433.200312000013,5331.300272000013
5225.400232000012,5432.600320000013,5329.0002760000125
5205.000240000011,5424.866976000012,5314.933608000012
5205.000240000011,5424.866976000012,5314.933608000012
5205.000240000011,5404.866968000012,5304.933604000012
5198.755792000011,5368.066920000011,5283.411356000011
5198.755792000011,5359.733584000012,5279.244688000012
5190.400232000012,5349.022472000011,5269.711352000011
5182.200232000012,5337.20026400001,5259.700248000011
5171.200248000012,5309.111384000013,5240.155816000012
5163.133576000013,5287.755840000012,5225.444708000012
5156.511368000012,5278.311392000012,5217.411380000012
5129.978040000013,5247.978056000013,5188.978048000013
5129.978040000013,5232.978056000012,5181.478048000012
5129.978040000013,5214.911392000012,5172.444716000013
5129.978040000013,5206.578064000012,5168.278052000012
5117.200248000012,5206.578064000012,5161.889156000012
5108.689136000012,5198.066968000012,5153.378052000012
5100.622464000011,5197.778072000012,5149.200268000011
5084.578008000011,5187.733640000013,5136.155824000012
5081.733576000011,5181.311416000012,5131.522496000012
5081.733576000011,5181.311416000012,5131.522496000012
5079.844688000011,5171.7558720000125,5125.800280000012
5079.844688000011,5168.4669840000115,5124.155836000011
5062.911352000011,5167.800304000012,5115.355828000012
5062.911352000011,5167.800304000012,5115.355828000012
5062.911352000011,5160.711424000011,5111.811388000011
5062.911352000011,5160.711424000011,5111.811388000011
5062.200240000011,5148.2447520000105,5105.222496000011
5035.222472000011,5131.933640000011,5083.578056000011
5021.155800000011,5131.933640000011,5076.544720000011
5021.155800000011,5131.933640000011,5076.544720000011
5004.311360000011,5131.933640000011,5068.12250000001
5004.311360000011,5127.378096000011,5065.844728000011
5004.311360000011,5120.778112000012,5062.544736000011
5004.311360000011,5118.200336000012,5061.255848000012
5004.311360000011,5117.489224000012,5060.900292000011
5004.311360000011,5117.489224000012,5060.900292000011
4997.15582400001,5117.489224000012,5057.322524000011
4997.15582400001,5117.489224000012,5057.322524000011
4997.15582400001,5117.489224000012,5057.322524000011
4997.15582400001,5116.8225520000115,5056.9891880000105
4990.600264000011,5116.8225520000115,5053.711408000011
4948.578024000011,5116.8225520000115,5032.700288000011
4948.578024000011,5116.8225520000115,5032.700288000011
4939.578024000011,5116.8225520000115,5028.200288000011
4936.91136000001,5116.8225520000115,5026.866956000011
