../results/qa194_mutator-000-01.csv,../results/qa194_mutator-000-02.csv,avg
5806.622496000012,5701.955936000018,5754.289216000015
5753.778056000013,5640.555928000015,5697.166992000014
5666.844696000014,5588.178152000016,5627.511424000015
5645.666920000014,5514.867024000016,5580.266972000015
5569.600240000013,5439.155896000018,5504.378068000016
5525.178008000013,5420.333664000017,5472.755836000015
5500.044696000014,5369.644784000017,5434.844740000015
5500.044696000014,5348.311448000019,5424.178072000016
5463.200240000014,5333.3114480000195,5398.255844000017
5433.111352000013,5318.578104000018,5375.8447280000155
5401.978024000014,5314.711440000018,5358.344732000016
5395.355800000012,5307.200320000017,5351.278060000015
5394.578024000013,5293.133640000017,5343.855832000016
5391.800248000013,5266.6447520000165,5329.222500000014
5391.755808000013,5247.155880000017,5319.455844000015
5387.622480000013,5241.133664000015,5314.378072000014
5384.955808000014,5240.822536000015,5312.889172000015
5362.889168000014,5239.822536000016,5301.355852000015
5336.022496000014,5225.378088000015,5280.700292000014
5329.355816000014,5225.378088000015,5277.366952000015
5319.644704000014,5224.111416000015,5271.878060000015
5319.644704000014,5224.111416000015,5271.878060000015
5313.733600000014,5210.244736000014,5261.989168000015
5274.133624000015,5200.022512000014,5237.078068000014
5257.778056000014,5196.822504000014,5227.300280000014
5248.378072000013,5192.955848000015,5220.666960000014
5248.378072000013,5192.955848000015,5220.666960000014
5248.378072000013,5187.200288000016,5217.789180000014
5248.378072000013,5183.822512000016,5216.100292000015
5217.155848000014,5179.533624000015,5198.344736000015
5212.3336240000135,5179.533624000015,5195.933624000014
5212.3336240000135,5179.533624000015,5195.933624000014
5198.289176000013,5164.533592000016,5181.411384000015
5172.355848000013,5148.489152000016,5160.422500000014
5172.355848000013,5135.444712000015,5153.900280000014
5172.355848000013,5132.133600000016,5152.244724000015
5172.355848000013,5127.444712000015,5149.900280000014
5172.355848000013,5114.644720000017,5143.500284000014
5158.733624000012,5114.644720000017,5136.689172000015
5158.733624000012,5114.644720000017,5136.689172000015
5158.733624000012,5102.511384000016,5130.622504000014
5152.666952000012,5102.511384000016,5127.589168000014
5144.511400000012,5102.511384000016,5123.511392000014
5133.200272000013,5102.511384000016,5117.855828000014
5101.466944000013,5102.511384000016,5101.989164000015
5099.555832000014,5102.511384000016,5101.033608000014
5096.933616000015,5102.511384000016,5099.722500000015
5096.933616000015,5102.511384000016,5099.722500000015
5094.111384000015,5102.511384000016,5098.311384000015
5077.044688000013,5102.511384000016,5089.778036000014
5077.044688000013,5089.5558240000155,5083.300256000014
5072.6002480000125,5089.5558240000155,5081.0780360000135
5072.6002480000125,5085.444720000017,5079.022484000015
5072.6002480000125,5065.533616000017,5069.066932000014
5072.6002480000125,5056.800280000017,5064.700264000015
5072.6002480000125,5056.800280000017,5064.700264000015
5072.6002480000125,5056.800280000017,5064.700264000015
5072.6002480000125,5056.089168000017,5064.344708000015
5072.6002480000125,5045.911400000016,5059.255824000014
5062.578024000013,5045.000288000017,5053.789156000015
5056.466904000012,5022.133624000016,5039.300264000014
5056.466904000012,5013.511384000015,5034.989144000014
5056.466904000012,5011.644720000016,5034.055812000013
5055.555792000011,5010.933616000016,5033.244704000013
5055.555792000011,4990.155824000015,5022.855808000013
5055.555792000011,4983.822472000014,5019.689132000012
5016.933568000011,4983.822472000014,5000.378020000013
5016.933568000011,4983.822472000014,5000.378020000013
5010.089128000011,4974.466928000014,4992.278028000013
5004.400240000012,4969.489128000013,4986.944684000013
4989.000248000012,4969.422456000012,4979.211352000012
4989.000248000012,4969.422456000012,4979.211352000012
4989.000248000012,4961.111352000013,4975.055800000013
4960.933576000012,4954.222464000013,4957.578020000013
4953.244672000012,4954.222464000013,4953.733568000012
4949.3780080000115,4954.222464000013,4951.800236000012
4949.3780080000115,4954.222464000013,4951.800236000012
4949.3780080000115,4954.222464000013,4951.800236000012
4949.3780080000115,4954.222464000013,4951.800236000012
4944.200232000011,4954.222464000013,4949.211348000012
4934.711344000011,4952.933568000013,4943.822456000013
4921.244672000012,4948.378008000012,4934.811340000012
4921.244672000012,4944.511344000012,4932.878008000012
4921.244672000012,4944.511344000012,4932.878008000012
4921.244672000012,4940.089120000012,4930.666896000012
4915.978000000011,4932.2446640000135,4924.111332000012
4915.978000000011,4932.2446640000135,4924.111332000012
4915.978000000011,4916.111336000013,4916.044668000011
4915.978000000011,4916.111336000013,4916.044668000011
4915.978000000011,4888.800224000012,4902.389112000012
4915.978000000011,4879.689112000012,4897.833556000011
4915.978000000011,4871.778000000012,4893.8780000000115
4887.333560000011,4868.822448000012,4878.078004000012
4887.333560000011,4868.822448000012,4878.078004000012
4880.355776000011,4868.822448000012,4874.5891120000115
4880.355776000011,4868.822448000012,4874.5891120000115
4866.333544000011,4868.822448000012,4867.577996000011
4866.333544000011,4868.822448000012,4867.577996000011
4866.333544000011,4868.822448000012,4867.577996000011
4866.333544000011,4868.822448000012,4867.577996000011
4866.333544000011,4868.822448000012,4867.577996000011
4866.333544000011,4843.689120000012,4855.011332000011
4815.311344000012,4843.689120000012,4829.500232000011
4808.333576000012,4843.689120000012,4826.011348000012
4788.844680000012,4843.689120000012,4816.266900000011
4788.844680000012,4840.889112000011,4814.866896000011
4788.844680000012,4840.889112000011,4814.866896000011
4788.844680000012,4840.889112000011,4814.866896000011
4788.844680000012,4839.222440000011,4814.033560000012
4784.489128000012,4822.000224000011,4803.244676000011
4784.489128000012,4806.089112000011,4795.289120000011
4784.489120000012,4806.089112000011,4795.289116000011
4784.489120000012,4805.955776000012,4795.222448000011
4784.489120000012,4805.955776000012,4795.222448000011
4768.6002320000125,4805.955776000012,4787.2780040000125
4768.6002320000125,4805.955776000012,4787.2780040000125
4759.355792000013,4805.955776000012,4782.655784000012
4759.355792000013,4805.955776000012,4782.655784000012
