../results/wi29_reverse-6-01.csv,../results/wi29_reverse-6-02.csv,avg
54457.00021600001,52866.978032,53661.989124
53798.00021600001,52460.37804,53129.189128000005
53344.84465600001,51981.644696,52663.244676
52944.977992,51528.955784,52236.966887999995
52944.977992,51032.422448000005,51988.70022
52819.111319999996,50927.955760000004,51873.533540000004
52451.80018400001,50678.355736000005,51565.07796000001
52237.622407999996,50660.86685600001,51449.244632
52129.844624000005,50451.00019200001,51290.422408000006
52039.48906400001,50390.28908800001,51214.88907600001
51671.155736,50292.200176000006,50981.677956
51552.64462400001,50153.82239200001,50853.233508000005
51524.777952000004,50136.933504,50830.855728
51071.555720000004,49935.53349600001,50503.54460800001
50774.80018400001,49642.28904,50208.544612000005
50374.11128800001,49599.866824000004,49986.989056000006
50241.644616,49391.755703999996,49816.70015999999
50067.289072000014,49286.200152000005,49676.74461200001
49565.089072,49266.20016000001,49415.644616000005
49108.64463200001,48913.84460800001,49011.24462000001
48775.955736,48732.57794400001,48754.26684000001
48747.955736,48502.333496000014,48625.144616000005
48747.955736,48502.333496000014,48625.144616000005
48734.200176000006,48502.333496000014,48618.26683600001
48569.77796800001,48450.60016000001,48510.189064000006
48569.77796800001,48450.60016000001,48510.189064000006
48359.955728,48445.822384000014,48402.88905600001
48185.133512,48390.266840000004,48287.700176
48185.133512,48206.42238400001,48195.777948
48185.133512,48206.42238400001,48195.777948
48185.133512,48200.75572000001,48192.94461600001
48162.444624,48129.26683200001,48145.85572800001
48162.444624,48129.26683200001,48145.85572800001
48079.111296,48115.000176,48097.055736
47572.53352,48062.11131200001,47817.322416
47450.777952000004,48032.777976000005,47741.77796400001
47414.06684800001,47889.289088000005,47651.677968
47411.400184000006,47889.289088000005,47650.34463600001
47411.400184000006,47889.289088000005,47650.34463600001
47142.80018400001,47889.289088000005,47516.044636000006
47086.222416,47750.666872,47418.444644
46958.111295999995,47746.40022400001,47352.25576
46721.84464,47594.044680000006,47157.94466000001
46721.84464,47594.044680000006,47157.94466000001
46704.155744,47486.13356800001,47095.144656000004
46694.822416,47486.13356800001,47090.47799200001
46694.822416,47483.40023200001,47089.111324000005
46588.622424,47472.95579200001,47030.789108000004
46560.555752,47472.95579200001,47016.755772000004
46560.555752,47472.95579200001,47016.755772000004
46560.555752,47472.95579200001,47016.755772000004
46560.555752,47472.95579200001,47016.755772000004
46560.555752,47386.28912800001,46973.42244000001
46560.555752,47386.28912800001,46973.42244000001
46545.622424,47191.555808000005,46868.589116
46545.622424,47191.555808000005,46868.589116
46478.866872,47174.333584,46826.600227999996
46478.866872,47105.71136,46792.289116
46478.866872,47105.71136,46792.289116
46478.866872,47096.37801600001,46787.62244400001
46324.511304,47096.37801600001,46710.44466000001
46169.489088,47096.37801600001,46632.933552
46169.489088,47058.33356800001,46613.911328
46169.489088,47043.266896,46606.377992
46100.177976,46620.755776000005,46360.466876000006
46100.177976,46604.755768,46352.466872000005
46100.177976,46604.755768,46352.466872000005
46100.177976,46343.42243200001,46221.800204
46100.177976,46258.022432000005,46179.100204
46100.177976,46226.200200000014,46163.18908800001
46100.177976,46226.200200000014,46163.18908800001
46100.177976,46192.066856000005,46146.122416
46076.044623999995,46192.066856000005,46134.055739999996
46076.044623999995,46192.066856000005,46134.055739999996
46076.044623999995,46192.066856000005,46134.055739999996
46021.844632,46192.066856000005,46106.955744000006
46021.844632,46090.355736000005,46056.100184
46021.844632,46090.355736000005,46056.100184
46021.844632,46055.44461600001,46038.64462400001
45843.244624000006,45743.44461600001,45793.34462
45690.755744,45724.15573600001,45707.455740000005
45204.666872,45724.15573600001,45464.41130400001
45204.666872,45660.08906400001,45432.377968
45204.666872,45660.08906400001,45432.377968
45090.000208,45599.64462400001,45344.822416
45090.000208,45599.64462400001,45344.822416
45090.000208,45599.64462400001,45344.822416
45083.60019999999,45599.64462400001,45341.622412
45065.555759999996,45599.64462400001,45332.600192
45065.555759999996,45599.64462400001,45332.600192
45042.577968,45599.64462400001,45321.111296
45042.577968,45599.64462400001,45321.111296
45029.311304,45599.64462400001,45314.477964000005
45029.311304,45537.755736000014,45283.53352000001
45029.311304,45482.711304000004,45256.011304
45029.311304,45482.711304000004,45256.011304
45029.311304,45482.711304000004,45256.011304
45029.311304,45402.77796800001,45216.044636000006
44997.577968,45402.77796800001,45200.177968
44997.577968,45402.77796800001,45200.177968
44853.00019199999,45339.866856000015,45096.43352400001
44845.77797599999,45339.866856000015,45092.822416
44827.822424,45339.866856000015,45083.84464000001
44651.28909600001,45339.866856000015,44995.577976000015
44651.28909600001,45249.91130400001,44950.60020000001
44634.28909600001,45249.91130400001,44942.10020000001
44634.28909600001,45023.60017600001,44828.94463600001
44634.28909600001,45023.60017600001,44828.94463600001
44634.28909600001,44969.71129600001,44802.00019600001
44634.28909600001,44969.71129600001,44802.00019600001
44634.28909600001,44969.71129600001,44802.00019600001
44634.28909600001,44847.044624,44740.666860000005
44619.04462400002,44847.044624,44733.04462400001
44612.08906400001,44847.044624,44729.566844
44612.08906400001,44847.044624,44729.566844
44595.200176000006,44847.044624,44721.12240000001
44595.200176000006,44847.044624,44721.12240000001
44595.200176000006,44847.044624,44721.12240000001
44595.200176000006,44847.044624,44721.12240000001
44595.200176000006,44847.044624,44721.12240000001
44595.200176000006,44847.044624,44721.12240000001
44595.200176000006,44847.044624,44721.12240000001
44595.200176000006,44847.044624,44721.12240000001
44470.644624000015,44847.044624,44658.844624000005
44470.644624000015,44820.71128,44645.67795200001
44470.644624000015,44820.71128,44645.67795200001
44470.644624000015,44820.71128,44645.67795200001
44470.644624000015,44820.71128,44645.67795200001
44470.644624000015,44820.71128,44645.67795200001
44470.644624000015,44820.71128,44645.67795200001
44470.644624000015,44774.977936,44622.81128000001
44470.644624000015,44774.977936,44622.81128000001
44470.644624000015,44774.977936,44622.81128000001
44470.644624000015,44732.466832,44601.55572800001
44470.644624000015,44732.466832,44601.55572800001
44470.644624000015,44732.466832,44601.55572800001
44470.644624000015,44732.466832,44601.55572800001
44470.644624000015,44732.466832,44601.55572800001
44470.644624000015,44714.800168,44592.72239600001
44470.644624000015,44714.800168,44592.72239600001
44470.644624000015,44714.800168,44592.72239600001
44369.37796000001,44714.800168,44542.08906400001
44369.37796000001,44714.800168,44542.08906400001
44369.37796000001,44663.066832,44516.222396000005
44369.37796000001,44663.066832,44516.222396000005
44369.37796000001,44663.066832,44516.222396000005
44369.37796000001,44663.066832,44516.222396000005
