../results/dj38_exp_rank_swap2-01.csv,../results/dj38_exp_rank_swap2-02.csv,avg
10680.555688000002,10435.111320000005,10557.833504000004
10393.400096000003,10219.111320000005,10306.255708000004
10115.000096000002,10030.711336000006,10072.855716000004
9892.777896000003,9925.578008000008,9909.177952000005
9855.244536000004,9751.977984000006,9803.611260000005
9798.333424000004,9680.044648000006,9739.189036000005
9761.822304000001,9629.377952000006,9695.600128000004
9734.111208,9592.044616000005,9663.077912000002
9728.466752,9561.689056000008,9645.077904000005
9647.466760000003,9427.600176000005,9537.533468000005
9576.289008000003,9401.511296000006,9488.900152000006
9555.044584000003,9400.844608000007,9477.944596000005
9536.577904000002,9328.533472000005,9432.555688000004
9517.64456,9305.222360000007,9411.433460000004
9511.377896000004,9197.622344000007,9354.500120000004
9503.355680000002,9194.200120000007,9348.777900000005
9462.977904000003,9178.600128000005,9320.789016000004
9324.822344000002,9178.600128000005,9251.711236000003
9304.889024000002,9178.600128000005,9241.744576000005
9300.844576000001,9148.844600000008,9224.844588000004
9262.177912000003,9137.755688000007,9199.966800000006
9262.177912000003,9071.155696000007,9166.666804000004
9232.555680000001,9071.155696000007,9151.855688000003
9232.555680000001,9031.822376000007,9132.189028000004
9219.977912000002,9031.822376000007,9125.900144000005
9197.800128000003,9031.333472000006,9114.566800000004
9197.800128000003,8984.333480000007,9091.066804000006
9126.511248000003,8969.644584000007,9048.077916000006
9074.044576000002,8969.644584000007,9021.844580000004
9053.400144000003,8942.577928000006,8997.989036000004
9047.155704000003,8942.577928000006,8994.866816000005
9017.533496000004,8875.933488000008,8946.733492000007
8989.977952000005,8857.711240000008,8923.844596000006
8989.977952000005,8857.711240000008,8923.844596000006
8970.777960000005,8835.689008000008,8903.233484000008
8970.777960000005,8835.689008000008,8903.233484000008
8925.511256000003,8835.689008000008,8880.600132000007
8925.511256000003,8835.689008000008,8880.600132000007
8876.177896000003,8835.689008000008,8855.933452000005
8853.555688000002,8835.689008000008,8844.622348000004
8853.555688000002,8835.689008000008,8844.622348000004
8853.555688000002,8791.755688000007,8822.655688000004
8842.266808000002,8790.377904000004,8816.322356000004
8842.266808000002,8790.377904000004,8816.322356000004
8834.889024000002,8790.377904000004,8812.633464000002
8808.155688000003,8790.377904000004,8799.266796000004
8808.155688000003,8775.733472000004,8791.944580000003
8808.155688000003,8775.733472000004,8791.944580000003
8808.155688000003,8749.600144000004,8778.877916000003
