../results/qa194_reverse-6-01.csv,../results/qa194_reverse-6-02.csv,avg
5950.311408000013,5801.978088000009,5876.1447480000115
5842.800328000013,5741.289168000009,5792.044748000011
5754.311448000015,5732.80027200001,5743.555860000013
5640.733672000016,5657.866928000008,5649.300300000012
5629.0670000000155,5554.889144000011,5591.978072000013
5613.266992000015,5520.955808000011,5567.1114000000125
5602.511440000015,5518.822488000011,5560.666964000013
5584.222552000017,5485.333584000012,5534.778068000014
5560.822552000016,5442.955808000012,5501.889180000015
5542.578088000017,5425.600240000012,5484.089164000014
5527.889192000016,5408.178024000011,5468.033608000013
5509.044720000014,5399.4446880000105,5454.2447040000125
5509.044720000014,5395.444696000011,5452.244708000013
5492.578024000016,5371.355816000009,5431.966920000013
5492.533592000014,5371.355816000009,5431.944704000012
5478.200264000015,5354.622496000009,5416.411380000012
5452.511392000015,5329.9558400000105,5391.233616000012
5446.489160000015,5320.15584000001,5383.322500000013
5440.266936000015,5307.400288000012,5373.833612000013
5432.533600000013,5305.711400000011,5369.122500000012
5390.400264000014,5287.555856000012,5338.978060000013
5375.622488000014,5265.3114000000105,5320.4669440000125
5364.466920000014,5254.51137600001,5309.489148000012
5364.466920000014,5248.466920000011,5306.466920000013
5315.866928000015,5246.33359200001,5281.100260000012
5294.533592000014,5246.33359200001,5270.433592000012
5293.8891440000125,5228.51136800001,5261.200256000011
5282.044688000013,5218.86692800001,5250.4558080000115
5279.444688000014,5211.66693600001,5245.555812000011
5266.600256000014,5210.400280000011,5238.5002680000125
5266.600256000014,5210.400280000011,5238.5002680000125
5251.533584000014,5210.400280000011,5230.966932000012
5240.622472000015,5202.866960000011,5221.744716000013
5240.622472000015,5199.822512000011,5220.222492000013
5240.622472000015,5199.822512000011,5220.222492000013
5240.622472000015,5199.822512000011,5220.222492000013
5240.622472000015,5199.822512000011,5220.222492000013
5240.622472000015,5199.689168000011,5220.155820000013
5238.400256000014,5197.200312000012,5217.800284000014
5226.311368000015,5197.200312000012,5211.755840000013
5215.7557920000145,5186.422536000012,5201.089164000014
5215.7557920000145,5180.622544000013,5198.1891680000135
5209.000248000014,5178.933656000012,5193.966952000013
5197.800232000014,5161.089192000013,5179.444712000013
5197.800232000014,5154.178088000012,5175.989160000014
5197.600224000014,5143.200304000014,5170.400264000014
5197.600224000014,5111.111416000013,5154.355820000013
