../results/wi29_swap-3-01.csv,../results/wi29_swap-3-02.csv,avg
54539.911368,52479.84464,53509.878004
53604.266928000005,51873.177968,52738.722448
52984.755824000014,51112.933512,52048.844668000005
52501.51137600001,50826.377952,51663.94466400001
52101.93356800001,50275.689064000006,51188.81131600001
51129.44473600001,49915.400200000004,50522.422468000004
50697.533608000005,49028.97796800001,49863.25578800001
50457.733616000005,48992.57796,49725.155788000004
50186.822488000005,48647.311304,49417.066896000004
49864.178016000005,48091.089112,48977.633564
49570.155816,47825.68908800001,48697.922452
49186.91137600001,47743.244648000014,48465.07801200001
49103.466928,47715.15576800001,48409.311348
49041.578032,47715.15576800001,48378.36690000001
48790.289152000005,46896.111304,47843.200228
48460.689128,46896.111304,47678.400215999995
48460.689128,46896.111304,47678.400215999995
48191.622447999995,46471.489056,47331.555752
48022.755776000005,46331.866824000004,47177.3113
47749.911312000004,46299.11126400001,47024.51128800001
47668.889072000005,46299.11126400001,46984.000168000006
47668.889072000005,46299.11126400001,46984.000168000006
47580.533504,46150.977920000005,46865.755712
47580.533504,46092.488992000006,46836.511248
47580.155712,45739.48900800001,46659.822360000006
47530.84460799999,45521.62236000001,46526.233484
47363.24460799999,45521.62236000001,46442.433484
47349.289048,45521.62236000001,46435.45570400001
47349.289048,45302.711264000005,46326.000156
46934.800136000005,45088.466799999995,46011.633468
46855.733472,44728.666808,45792.20014
46449.377904,44717.73347200001,45583.55568800001
46449.377904,44553.066808,45501.222356
46328.60012000001,44553.066808,45440.83346400001
46209.666800000006,44553.066808,45381.366804000005
46130.689016000004,44491.17792,45310.933468
46130.689016000004,44491.17792,45310.933468
46130.689016000004,44394.62236000001,45262.655688000006
46130.689016000004,44318.111248,45224.400132
45887.31124000001,44318.111248,45102.711244000006
45887.31124000001,44318.111248,45102.711244000006
45887.31124000001,44120.155679999996,45003.73346
45887.31124000001,43967.04456,44927.17790000001
45784.06680800001,43909.266776000004,44846.666792
45784.06680800001,43909.266776000004,44846.666792
45651.51124000001,43909.266776000004,44780.389008000006
45651.51124000001,43909.266776000004,44780.389008000006
45651.51124000001,43909.266776000004,44780.389008000006
45651.51124000001,43849.489,44750.500120000004
45577.933480000014,43849.489,44713.711240000004
45515.733488000005,43849.489,44682.611244
45455.20015200001,43817.13342400001,44636.16678800001
45455.20015200001,43817.13342400001,44636.16678800001
45451.44460000001,43784.13343200001,44617.78901600001
45451.44460000001,43784.13343200001,44617.78901600001
45451.44460000001,43784.13343200001,44617.78901600001
45373.88903200001,43784.13343200001,44579.011232000004
45357.244592,43784.13343200001,44570.689012
44989.62236000001,43784.13343200001,44386.877896000005
44989.62236000001,43784.13343200001,44386.877896000005
44989.62236000001,43784.13343200001,44386.877896000005
44989.62236000001,43726.80010400001,44358.21123200001
44826.62238400001,43633.977880000006,44230.300132000004
44826.62238400001,43590.977880000006,44208.800132000004
44826.62238400001,43590.977880000006,44208.800132000004
44826.62238400001,43590.977880000006,44208.800132000004
44689.777927999996,43590.977880000006,44140.377904
44689.777927999996,43590.977880000006,44140.377904
44689.777927999996,43590.977880000006,44140.377904
44689.777927999996,43590.977880000006,44140.377904
