../results/qa194_exp_rank_swap1-01.csv,../results/qa194_exp_rank_swap1-02.csv,avg
5872.533544000013,5908.622608000013,5890.5780760000125
5719.111360000011,5841.822584000014,5780.466972000013
5688.133560000013,5747.955912000014,5718.0447360000135
5683.333568000014,5643.067016000012,5663.200292000012
5570.778000000012,5601.578120000013,5586.178060000013
5548.333528000012,5570.311440000012,5559.322484000012
5517.800192000012,5514.511440000013,5516.155816000013
5453.222400000014,5498.311432000012,5475.766916000013
5410.933520000015,5464.733632000012,5437.833576000014
5386.177952000012,5432.911416000012,5409.544684000011
5361.0223840000135,5420.133640000012,5390.578012000013
5352.111280000012,5416.511416000012,5384.311348000012
5327.622416000012,5409.866952000012,5368.744684000012
5327.622416000012,5397.755832000012,5362.689124000011
5327.622416000012,5397.755832000012,5362.689124000011
5316.755752000013,5388.844744000014,5352.800248000013
5311.333520000011,5379.644744000014,5345.489132000012
5269.533528000012,5379.644744000014,5324.589136000013
5267.977968000012,5376.022512000014,5322.000240000013
5249.577976000012,5376.022512000014,5312.800244000013
5249.577976000012,5376.022512000014,5312.800244000013
5248.3779760000125,5361.066960000014,5304.722468000013
5248.3779760000125,5352.555856000013,5300.466916000012
5223.866848000012,5336.955848000012,5280.411348000012
5214.155752000012,5336.955848000012,5275.555800000013
5213.889072000013,5334.5336160000115,5274.211344000012
5194.489080000012,5334.5336160000115,5264.511348000012
5174.0224160000125,5332.444720000011,5253.233568000012
5173.133520000012,5323.3780560000105,5248.255788000011
5173.133520000012,5298.289168000012,5235.711344000012
5172.977976000012,5298.289168000012,5235.633572000012
5154.155752000012,5297.822504000012,5225.989128000012
5140.044640000013,5273.689168000014,5206.866904000013
5134.755736000012,5265.600272000015,5200.178004000014
5129.311288000012,5265.578048000014,5197.444668000013
5129.311288000012,5262.889160000013,5196.1002240000125
5117.622400000011,5255.6891600000135,5186.655780000012
5117.622400000011,5223.578056000014,5170.600228000012
5112.311296000012,5209.800264000012,5161.0557800000115
5112.311296000012,5208.155824000012,5160.2335600000115
5104.977960000011,5199.378048000012,5152.178004000012
