../results/wi29_mutator-000-01.csv,../results/wi29_mutator-000-02.csv,avg
53992.244640000004,53681.13353600001,53836.68908800001
53067.200176,52475.48907200001,52771.344624000005
52174.244584,52029.64463200001,52101.944608000005
51334.644592000004,51488.800176,51411.722384
50803.200176,51370.133496,51086.666836000004
50343.911296,50912.28905600001,50628.10017600001
49836.4224,50804.13350400002,50320.27795200001
49836.4224,50391.489064000016,50113.95573200001
49588.111288,50364.200176000006,49976.155732
49087.022408,50060.889056000015,49573.955732
48953.933504,50029.44460000001,49491.689052
48731.289064,49757.666824,49244.477944
48731.289064,49427.155704000004,49079.222384
48531.977960000004,49312.866815999994,48922.422388
48097.311288,49000.000144000005,48548.655716
47602.600168000004,48826.755696,48214.677932000006
47527.844616,48742.844576,48135.344596
47516.17793599999,48540.333472,48028.255703999996
47470.000144,48540.333472,48005.166807999994
47465.889032,48468.689024,47967.289028
47461.666808,48312.400136000004,47887.033472
47314.08902399999,48149.11126400001,47731.600144
47314.08902399999,47900.40014400001,47607.244584
47314.08902399999,47868.800151999996,47591.444588
47071.20017599999,47834.266832,47452.733503999996
47071.20017599999,47759.666831999995,47415.43350399999
46888.866839999995,47731.066832,47309.96683599999
46682.28907199999,47731.066832,47206.677952
46419.622407999996,47731.066832,47075.344619999996
46419.622407999996,47593.533504,47006.577955999994
46352.177967999996,47485.666848,46918.922408
46033.444632,47240.822368,46637.133499999996
45969.711295999994,47157.0446,46563.377947999994
45675.73349599999,46935.444608000005,46305.589051999996
45675.73349599999,46745.02237600001,46210.377936000004
45675.73349599999,46716.6446,46196.189048
45675.73349599999,46716.6446,46196.189048
45658.311272,46716.6446,46187.477935999996
45658.311272,46716.6446,46187.477935999996
45658.311272,46716.6446,46187.477935999996
45582.33349600001,46677.400152,46129.866824000004
45582.33349600001,46677.400152,46129.866824000004
45582.33349600001,46668.044608000004,46125.189052
45526.911263999995,46668.044608000004,46097.477935999996
45481.577928,46668.044608000004,46074.811268000005
45481.577928,46496.622392000005,45989.10016
45481.577928,46439.200176,45960.389052
45481.577928,46361.866848,45921.722387999995
45481.577928,46177.31129600001,45829.44461200001
45481.577928,46177.31129600001,45829.44461200001
45481.577928,46177.31129600001,45829.44461200001
45411.755703999996,46177.31129600001,45794.533500000005
45028.355703999994,46098.13352000001,45563.244612
44953.311256,45985.066856000005,45469.189056
44953.311256,45979.46685600001,45466.389056
44953.311256,45829.177968,45391.244612
44953.311256,45783.844632,45368.577944000004
44953.311256,45783.844632,45368.577944000004
44953.311256,45783.844632,45368.577944000004
44931.577928,45783.844632,45357.71128
44931.577928,45752.155752000006,45341.86684
44931.577928,45752.155752000006,45341.86684
44896.289024,45609.26685600002,45252.77794000001
44896.289024,45584.22240800001,45240.255716
44896.289024,45560.711296000016,45228.50016000001
44843.111247999994,45560.711296000016,45201.911272000005
44813.577935999994,45560.711296000016,45187.144616000005
44813.577935999994,45560.711296000016,45187.144616000005
44708.2446,45560.711296000016,45134.47794800001
44708.2446,45560.711296000016,45134.47794800001
44708.2446,45512.22240000001,45110.2335
44708.2446,45512.22240000001,45110.2335
44708.2446,45512.22240000001,45110.2335
44708.2446,45356.17795200001,45032.211276
44708.2446,45356.17795200001,45032.211276
44708.2446,45356.17795200001,45032.211276
44708.2446,45348.31128,45028.27794
44685.022368,45336.31128,45010.666824
44672.822368,45336.31128,45004.566824
44672.822368,45336.31128,45004.566824
44672.822368,45336.31128,45004.566824
44648.155712,45323.4224,44985.789056
44648.155712,45198.28905600001,44923.22238400001
44648.155712,45198.28905600001,44923.22238400001
44471.111247999994,45198.28905600001,44834.700152000005
44471.111247999994,45198.28905600001,44834.700152000005
44279.08904,45198.28905600001,44738.689048
44184.08904800001,45198.28905600001,44691.18905200001
44117.33349600001,45198.28905600001,44657.81127600001
44117.33349600001,45186.95572800001,44652.144612000004
44117.33349600001,45186.95572800001,44652.144612000004
44117.33349600001,45067.04460000001,44592.18904800001
44117.33349600001,45067.04460000001,44592.18904800001
44103.844592,45067.04460000001,44585.444596
43982.33348,45067.04460000001,44524.689040000005
43979.40014400001,45067.04460000001,44523.222372000004
43979.40014400001,45067.04460000001,44523.222372000004
43979.40014400001,45067.04460000001,44523.222372000004
43979.40014400001,44983.66683200001,44481.53348800001
43979.40014400001,44983.66683200001,44481.53348800001
43979.40014400001,44983.66683200001,44481.53348800001
43979.40014400001,44983.66683200001,44481.53348800001
43779.133471999994,44983.66683200001,44381.400152
43779.133471999994,44983.66683200001,44381.400152
43779.133471999994,44983.66683200001,44381.400152
43779.133471999994,44983.66683200001,44381.400152
43767.222352,44983.66683200001,44375.444592
43767.222352,44963.60016000001,44365.41125600001
43767.222352,44963.60016000001,44365.41125600001
43767.222352,44963.60016000001,44365.41125600001
43767.222352,44911.71127200001,44339.466812
43767.222352,44858.955720000005,44313.089036000005
43721.666808,44858.955720000005,44290.311264
43721.666808,44660.089032,44190.87792
43721.666808,44660.089032,44190.87792
43721.666808,44660.089032,44190.87792
43721.666808,44660.089032,44190.87792
43632.155704,44660.089032,44146.122368
43632.155704,44660.089032,44146.122368
43632.155704,44660.089032,44146.122368
43632.155704,44660.089032,44146.122368
43632.155704,44660.089032,44146.122368
43632.155704,44660.089032,44146.122368
43632.155704,44660.089032,44146.122368
43618.11125600001,44660.089032,44139.10014400001
43618.11125600001,44660.089032,44139.10014400001
43618.11125600001,44660.089032,44139.10014400001
43490.689032,44660.089032,44075.38903200001
43406.689032,44487.022376000015,43946.85570400001
43406.689032,44487.022376000015,43946.85570400001
43406.689032,44354.955704000015,43880.82236800001
43406.689032,44354.955704000015,43880.82236800001
43406.689032,44285.08902400001,43845.889028000005
43406.689032,44285.08902400001,43845.889028000005
43406.689032,44285.08902400001,43845.889028000005
43320.28904,44285.08902400001,43802.68903200001
43274.155704000004,44285.08902400001,43779.62236400001
43086.155704000004,44285.08902400001,43685.62236400001
43086.155704000004,44161.62236000001,43623.88903200001
43086.155704000004,44161.62236000001,43623.88903200001
43086.155704000004,44038.95569600001,43562.55570000001
43086.155704000004,44038.95569600001,43562.55570000001
43024.555704,44038.95569600001,43531.75570000001
43024.555704,43989.955704000015,43507.25570400001
43024.555704,43989.955704000015,43507.25570400001
43024.555704,43989.955704000015,43507.25570400001
43024.555704,43989.955704000015,43507.25570400001
43024.555704,43989.955704000015,43507.25570400001
43024.555704,43989.955704000015,43507.25570400001
43024.555704,43989.955704000015,43507.25570400001
43024.555704,43960.62237600001,43492.589040000006
43024.555704,43960.62237600001,43492.589040000006
43024.555704,43960.62237600001,43492.589040000006
43024.555704,43960.62237600001,43492.589040000006
43024.555704,43960.62237600001,43492.589040000006
43007.666824,43939.20014400001,43473.43348400001
43007.666824,43939.20014400001,43473.43348400001
43007.666824,43863.20014400001,43435.43348400001
42980.13347200001,43676.53348000001,43328.333476000014
42926.73347200001,43676.53348000001,43301.63347600001
42926.73347200001,43676.53348000001,43301.63347600001
42907.44459200001,43676.53348000001,43291.98903600001
42907.44459200001,43676.53348000001,43291.98903600001
42907.44459200001,43676.53348000001,43291.98903600001
42907.44459200001,43676.53348000001,43291.98903600001
42907.44459200001,43676.53348000001,43291.98903600001
42907.44459200001,43676.53348000001,43291.98903600001
42870.13347200001,43676.53348000001,43273.333476000014
42870.13347200001,43676.53348000001,43273.333476000014
42870.13347200001,43676.53348000001,43273.333476000014
42870.13347200001,43676.53348000001,43273.333476000014
42822.71124800001,43676.53348000001,43249.62236400001
42760.80014400001,43676.53348000001,43218.66681200001
42760.80014400001,43676.53348000001,43218.66681200001
42760.80014400001,43676.53348000001,43218.66681200001
42760.80014400001,43676.53348000001,43218.66681200001
42690.844584,43676.53348000001,43183.68903200001
42690.844584,43676.53348000001,43183.68903200001
42690.844584,43676.53348000001,43183.68903200001
42690.844584,43676.53348000001,43183.68903200001
42690.844584,43676.53348000001,43183.68903200001
42690.844584,43676.53348000001,43183.68903200001
42690.844584,43676.53348000001,43183.68903200001
42690.844584,43676.53348000001,43183.68903200001
42690.844584,43676.53348000001,43183.68903200001
42632.933472000004,43676.53348000001,43154.73347600001
42632.933472000004,43676.53348000001,43154.73347600001
42632.933472000004,43637.733464000004,43135.333468000004
42632.933472000004,43637.733464000004,43135.333468000004
42632.933472000004,43459.06680000001,43046.000136
42632.933472000004,43459.06680000001,43046.000136
42632.933472000004,43459.06680000001,43046.000136
42632.933472000004,43459.06680000001,43046.000136
42632.933472000004,43459.06680000001,43046.000136
42632.933472000004,43459.06680000001,43046.000136
42632.933472000004,43459.06680000001,43046.000136
