../results/dj38_reverse-6-01.csv,../results/dj38_reverse-6-02.csv,avg
10680.222384000012,10003.311312000003,10341.766848000007
10476.17794400001,9981.066864000004,10228.622404000007
10295.444608000009,9891.489104000004,10093.466856000006
10211.266800000009,9836.022440000004,10023.644620000006
10172.177896000007,9806.489096000007,9989.333496000007
10113.266784000009,9775.777992000005,9944.522388000007
10019.689008000008,9743.911344000004,9881.800176000006
9980.888992000006,9731.644672000006,9856.266832000005
9923.800112000008,9682.066880000006,9802.933496000007
9839.866784000005,9623.155792000005,9731.511288000005
9836.777904000008,9533.778008000005,9685.277956000005
9817.955688000007,9499.066896000004,9658.511292000007
9814.777912000009,9465.489128000005,9640.133520000007
9789.111240000007,9462.066904000005,9625.589072000006
9738.889032000008,9425.311360000003,9582.100196000007
9711.977920000008,9424.511352000005,9568.244636000007
9707.777904000008,9418.422456000006,9563.100180000007
9618.577904000007,9418.422456000006,9518.500180000006
9587.711232000007,9397.400248000005,9492.555740000007
9545.40013600001,9396.333568000005,9470.866852000006
9545.40013600001,9369.066888000007,9457.233512000008
9490.911248000008,9365.689120000006,9428.300184000007
9476.022360000008,9365.689120000006,9420.855740000006
9471.711248000009,9344.155784000008,9407.933516000008
9450.889040000007,9329.800216000005,9390.344628000006
9428.155720000008,9296.333552000006,9362.244636000007
9428.155720000008,9275.466880000005,9351.811300000007
9412.022384000009,9240.222432000004,9326.122408000007
9412.022384000009,9225.422432000003,9318.722408000005
9412.022384000009,9224.733536000003,9318.377960000005
9395.200144000008,9217.711312000005,9306.455728000006
9376.222360000007,9185.844632000004,9281.033496000005
9376.222360000007,9185.844632000004,9281.033496000005
9376.222360000007,9185.844632000004,9281.033496000005
9365.311256000006,9185.844632000004,9275.577944000004
9357.577920000005,9185.844632000004,9271.711276000005
9357.577920000005,9182.244640000004,9269.911280000004
9354.311264000007,9174.333528000005,9264.322396000007
9354.311264000007,9138.800184000003,9246.555724000005
9354.311264000007,9115.066856000005,9234.689060000006
9354.311264000007,9109.822416000005,9232.066840000007
9343.689040000005,9109.822416000005,9226.755728000004
9317.622368000008,9109.822416000005,9213.722392000007
9317.622368000008,9109.822416000005,9213.722392000007
9317.622368000008,9100.444648000004,9209.033508000006
9286.355704000005,9053.444656000001,9169.900180000004
9286.355704000005,9053.444656000001,9169.900180000004
9275.555704000006,9053.444656000001,9164.500180000003
9275.555704000006,9053.444656000001,9164.500180000003
9275.555704000006,9053.444656000001,9164.500180000003
9275.555704000006,9000.666872000003,9138.111288000004
9275.555704000006,8994.733528000004,9135.144616000005
9275.555704000006,8994.733528000004,9135.144616000005
9229.844568000008,8991.600200000004,9110.722384000006
9219.822336000007,8991.600200000004,9105.711268000006
9219.822336000007,8991.600200000004,9105.711268000006
9203.355672000007,8962.244656000004,9082.800164000006
9203.355672000007,8955.933544000003,9079.644608000006
