../results/dj38_mutator-001-01.csv,../results/dj38_mutator-001-02.csv,avg
10600.222392000007,10178.733544000008,10389.477968000007
10447.26683200001,9957.689064,10202.477948000005
10343.911288000008,9835.155735999999,10089.533512000004
10297.666848000006,9830.844624,10064.255736000003
10201.000136000006,9825.266832,10013.133484000002
10130.555696000005,9738.444599999999,9934.500148000003
9818.066888000007,9700.622392,9759.344640000003
9753.511352000007,9691.422400000001,9722.466876000004
9700.289128000006,9675.533488000001,9687.911308000002
9638.222448000004,9630.355704000001,9634.289076000003
9615.889120000005,9630.355704000001,9623.122412000004
9498.533568000004,9620.289032000002,9559.411300000003
9438.600224000002,9610.600120000003,9524.600172000002
9397.400248000002,9497.200111999999,9447.30018
9355.133576000002,9435.222312,9395.177944000001
9321.089144000003,9409.933423999999,9365.511284
9258.511360000002,9393.933439999999,9326.2224
9253.266912000003,9372.711215999998,9312.989064000001
9181.000224000001,9354.977879999999,9267.989052
9176.689112000002,9354.977879999999,9265.833496
9176.689112000002,9343.733447999999,9260.21128
9148.222456000003,9321.733456,9234.977956000002
9125.555784000002,9292.155671999999,9208.855728
9123.778008000003,9281.622328000001,9202.700168000003
9092.466904000003,9257.177888,9174.822396000001
9087.000232000002,9237.000104,9162.000168000002
9082.844672000003,9237.000104,9159.922388000003
9082.844672000003,9155.13344,9118.989056000002
9082.844672000003,9155.13344,9118.989056000002
9046.800232000003,9081.177904000002,9063.989068000003
9042.066896000002,9081.177904000002,9061.622400000002
9042.066896000002,9052.933472000002,9047.500184000002
9042.066896000002,9052.933472000002,9047.500184000002
8987.222432000002,9052.933472000002,9020.077952000003
8939.155744,9052.933472000002,8996.044608
8889.444624000002,9042.422360000002,8965.933492000002
8877.377935999999,9042.422360000002,8959.900148
8851.289048,9042.422360000002,8946.855704000001
8847.133488,9023.622352000002,8935.37792
8815.733488,9023.622352000002,8919.677920000002
8815.111272000002,9023.622352000002,8919.366812000002
8814.289056000001,9023.622352000002,8918.955704000002
8756.355712,9023.622352000002,8889.989032000001
8708.489024,9022.822344000002,8865.655684000001
8708.489024,8988.022336000002,8848.255680000002
8708.489024,8988.022336000002,8848.255680000002
8685.0446,8988.022336000002,8836.533468000001
8667.377911999998,8988.022336000002,8827.700123999999
8638.733448,8988.022336000002,8813.377892
8614.066783999999,8988.022336000002,8801.04456
8610.511224,8988.022336000002,8799.266780000002
8595.577896,8946.377880000002,8770.977888000001
8595.577896,8946.377880000002,8770.977888000001
8595.577896,8940.977880000002,8768.277888
8595.577896,8927.889000000001,8761.733448
8584.577904,8913.000120000002,8748.789012000001
8584.577904,8913.000120000002,8748.789012000001
8584.577904,8891.889008000002,8738.233456000002
8584.577904,8891.889008000002,8738.233456000002
8561.800144000003,8891.889008000002,8726.844576000003
8560.111256000002,8889.977896000002,8725.044576000002
8558.044608,8889.977896000002,8724.011252
8558.044608,8889.977896000002,8724.011252
8551.822400000003,8889.977896000002,8720.900148000002
8551.822400000003,8889.977896000002,8720.900148000002
8551.822400000003,8889.977896000002,8720.900148000002
8526.711296000001,8889.977896000002,8708.344596000003
8526.711296000001,8889.977896000002,8708.344596000003
8526.711296000001,8889.977896000002,8708.344596000003
8523.933512000001,8865.111216000001,8694.522364
8523.933512000001,8865.111216000001,8694.522364
8523.933512000001,8848.177880000001,8686.055696000001
8523.933512000001,8848.177880000001,8686.055696000001
8521.777960000003,8848.177880000001,8684.977920000001
8520.000192000001,8831.089008000003,8675.544600000001
8476.555744000003,8791.755672000001,8634.155708000002
8476.555744000003,8773.444584,8625.000164000001
8453.822416,8755.111256000002,8604.466836000001
8453.822416,8749.022368,8601.422392
8453.822416,8749.022368,8601.422392
8453.822416,8749.022368,8601.422392
8453.822416,8749.022368,8601.422392
8453.822416,8749.022368,8601.422392
8453.822416,8749.022368,8601.422392
8434.200184000001,8718.577920000002,8576.389052000002
8434.200184000001,8709.533472,8571.866828
8434.200184000001,8709.533472,8571.866828
8431.111296000001,8701.37792,8566.244608
8431.111296000001,8693.044592,8562.077944
8431.111296000001,8693.044592,8562.077944
8425.022408,8693.044592,8559.033500000001
8421.222408,8693.044592,8557.1335
